department,name,job_title
BOARD/COMMISSION MEMBER,"BERGER, MARICELA",
MAYOR'S OFFICE,"BERLINER,  SETH",ASST ADMINISTRATIVE SECRETARY III
BOARD OF ETHICS,"BERLIN,  STEVEN",EXECUTIVE DIR - BOARD OF ETHICS
BUDGET & MGMT,"BERMAN,  BRENNA M",DEPUTY BUDGET DIR
BOARD/COMMISSION MEMBER,"BERMUDEZ, IRENE",
BOARD/COMMISSION MEMBER,"BERNER, MARICELA R",
BOARD/COMMISSION MEMBER,"BEUHEMA, LIALA",
BOARD/COMMISSION MEMBER,"BIALEK, PETER",
PUBLIC LIBRARY,"BIEL,  KATHY R",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BILAL, ALIA J",
BOARD/COMMISSION MEMBER,"BLACKSTONE LUKENS, SARA J",
BOARD/COMMISSION MEMBER,"BLAIR, RICHARD A",
BOARD/COMMISSION MEMBER,"BLAISE, MICHILLA",
BOARD/COMMISSION MEMBER,"BLAKE OD, MARCIA E",
BOARD/COMMISSION MEMBER,"BLANCHARD, ANITA",
BOARD/COMMISSION MEMBER,"BLITZ, DAVID",
BOARD/COMMISSION MEMBER,"BLOCK, JODI",
BOARD/COMMISSION MEMBER,"BLOCK, STEVEN",
BOARD/COMMISSION MEMBER,"BLONSKI, KATHERINE E",
BOARD/COMMISSION MEMBER,"BOATRIGHT, CIERE",
BOARD/COMMISSION MEMBER,"BOBA, BARBARA J",
BOARD/COMMISSION MEMBER,"BOBINS, NORMAN R",
BOARD/COMMISSION MEMBER,"BOCHENEK, MARYANNA",
POLICE,"BOEHMER,  KATHLEEN",COMMANDER
BOARD/COMMISSION MEMBER,"BOGOVICH, MATTHEW",
AVIATION,"BOLAND,  MICHAEL D",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BOLOTIN, LAURENCE A",
BOARD/COMMISSION MEMBER,"BOLSEN, BARBARA",
BOARD/COMMISSION MEMBER,"BOND JR, LESLIE",
BOARD/COMMISSION MEMBER,BONILLA SILVIA,
COMMUNITY DEVELOPMENT,"BONOME,  MARY T",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BONONNO, THOMAS J",
BOARD/COMMISSION MEMBER,"BOOKMAN, JOEL",
CULTURAL AFFAIRS,"BOONE, MICHELLE T",COMMISSIONR CULT. AFFAIRS/SPECIAL EVENTS
BOARD/COMMISSION MEMBER,"BOROWIEC, BRADLEY",
BOARD/COMMISSION MEMBER,"BOROWIEC, JOANNA",
STREETS & SAN,"BORRERO,  PEDRO A",WARD SUPERINTENDENT
OEMC,"BOTICA,  JOHN A",DEPUTY DIR
BOARD/COMMISSION MEMBER,"BOWDEN, CHRISTINE",
BOARD/COMMISSION MEMBER,"BOWEN, CHARLES",
BOARD/COMMISSION MEMBER,"BOWMAN, ANGELA",
BOARD/COMMISSION MEMBER,"BOWMAN, BARBARA T",
FIRE,"BOYCE,  CLIFFORD V",ASST DEPUTY CHIEF PARAMEDIC
BOARD/COMMISSION MEMBER,"BOYD, KENDRA",
BOARD/COMMISSION MEMBER,"BOYER, JONATHAN",
FIRE,"BOYLE,  WILLIAM D",CHIEF
BOARD/COMMISSION MEMBER,"BOYWID, JASON B",
STREETS & SAN,"BRADLEY,  SHAWN T",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"BRAMLETTE, LANA",
BOARD/COMMISSION MEMBER,"BRANDENBURGER, KEITH R",
BOARD/COMMISSION MEMBER,"BRANDEN, MARTY",
FINANCE,"BRANKIN,  JOHN P",DEPUTY COMPTROLLER
GENERAL SERVICES,"BRAVO,  NIKKI R",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BRAZIER, BYRON T",
BOARD/COMMISSION MEMBER,"BRENNAN, NOME",
FIRE,"BRENNAN,  PATRICK J",DEPUTY DISTRICT CHIEF
BOARD/COMMISSION MEMBER,"BRENNER, MARSHA EILEEN",
LAW,"BRENNWALD,  JAMES Q",CHIEF LABOR NEGOTIATOR
WATER MGMNT,"BRESNAHAN,  WILLIAM C",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BREWER, MATTHEW",
BOARD/COMMISSION MEMBER,"BROOKS, ANGELA D",
BOARD/COMMISSION MEMBER,"BROOKS, MARC B",
BOARD/COMMISSION MEMBER,"BROOKS, MEREDITH",
BOARD/COMMISSION MEMBER,"BROWN, CAROLE",
BOARD/COMMISSION MEMBER,"BROWN, CHARLES C",
BOARD/COMMISSION MEMBER,"BROWN, DAVID R",
BOARD/COMMISSION MEMBER,"BROWN, DEREK",
BOARD/COMMISSION MEMBER,"BROWN, DIANE M",
BOARD/COMMISSION MEMBER,"BROWN, EMMA DIXSON",
POLICE,"BROWN,  ERNEST T",DEPUTY SUPERINTENDENT
BOARD/COMMISSION MEMBER,"BROWN, EVA",
BOARD/COMMISSION MEMBER,"BROWN, JAMIE",
DoIT,"BROWNLEE,  DERRICK L",DEPUTY CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"BROWN, LEVOI K",
BOARD/COMMISSION MEMBER,"BRUELDEUE, J B",
BOARD/COMMISSION MEMBER,"BRUMFIELD, ANDRE",
STREETS & SAN,"BRYANT,  GENEVIEVE",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"BRYANT,  HOMER",
BOARD/COMMISSION MEMBER,"BRYANT, JOHN R.",
BOARD/COMMISSION MEMBER,"BUCHANAN, JAMES",
POLICE,"BUCKLEY JR,  ROBERT C",POLICY ANALYST
BOARD/COMMISSION MEMBER,"BUCKSBAUM, JOHN",
BOARD/COMMISSION MEMBER,"BUCKWALTER, JOANNE",
BOARD/COMMISSION MEMBER,"BUDZINSKI, CATHERINE",
BOARD/COMMISSION MEMBER,"BUECHLER, MONA",
BOARD/COMMISSION MEMBER,"BUFORD-BLASINGARNE, ROSLIND",
BOARD/COMMISSION MEMBER,"BUFORD, ROBERT",
BOARD/COMMISSION MEMBER,"BURNETT, KERY",
HUMAN RESOURCES,"BURNS,  LEO J",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BURTON, TANGELA P",
HUMAN RESOURCES,"BUSCEMI,  CONSTANCE M",DIR OF PUBLIC AFFAIRS
BOARD/COMMISSION MEMBER,"BUTLER, ELIZABETH",
PROCUREMENT,"BUTLER III,  RICHARD E",FIRST DEPUTY PROCUREMENT OFFICER
BOARD/COMMISSION MEMBER,"BUTTS, PAMELA",
BOARD/COMMISSION MEMBER,"BYNUM, CHERYL",
BUILDINGS,"BYRD,  CARL R",FIRST DEPUTY COMMISSIONER
STREETS & SAN,"BYRNE,  THOMAS G",COMMISSIONER OF STREETS AND SANITATION
POLICE,"BYRNE,  THOMAS M",CHIEF
BOARD/COMMISSION MEMBER,"CABRERA JR, MARTIN",
BOARD/COMMISSION MEMBER,"CAFARO, DEBRA A.",
BOARD/COMMISSION MEMBER,"CALDERON, JUAN",
BOARD/COMMISSION MEMBER,"CALDWELL-CHARLES, VETA L",
BUSINESS AFFAIRS,"CALICCHIO,  RONALD J",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"CALIXTO, ALFREDO",
FIRE,"CALLAHAN,  MICHAEL E",DEPUTY FIRE COMMISSIONER
POLICE,"CALLOWAY,  KEITH A",COMMANDER
POLICE,"CALURIS,  STEVEN M",COMMANDER
BOARD/COMMISSION MEMBER,"CAMARGO, OLGA",
BOARD/COMMISSION MEMBER,"CAMARON, GREGORY C",
BOARD/COMMISSION MEMBER,"CAMERON, HELEN",
BOARD/COMMISSION MEMBER,"CAMERON, JANE",
WATER MGMNT,"CAMINER,  IRENE",DIRECTOR OF LEGAL SERVICES
BOARD/COMMISSION MEMBER,"CAMPBELL, JEANNINE",
BOARD/COMMISSION MEMBER,"CAMPBELL, SUSAN M",
BOARD/COMMISSION MEMBER,"CAMPISE, DARIAN",
BOARD/COMMISSION MEMBER,"CAMPISE, FRANCES",
BOARD/COMMISSION MEMBER,"CANNING, MICHAEL",
BOARD/COMMISSION MEMBER,"CAPPA, KAREN M",
BOARD/COMMISSION MEMBER,"CAPUTO, FRANK J",
BOARD/COMMISSION MEMBER,"CAREY, JASON",
BOARD/COMMISSION MEMBER,"CARLI, DIANE",
BOARD/COMMISSION MEMBER,"CARLOS AVILA, JUAN",
BOARD/COMMISSION MEMBER,"CARLSON, RUSSELL F",
BOARD/COMMISSION MEMBER,"CARNEY, DEMETRIUS",
TRANSPORTN,"CARNEY,  THOMAS R",DEPUTY COMMISSIONER
POLICE,"CAROTHERS,  ANTHONY J",COMMANDER
MAYOR'S OFFICE,"CARPENTER,  JACQUELINE C",ASST ADMINISTRATIVE SECRETARY III
BOARD/COMMISSION MEMBER,"CARRASQUILLO, EMILIO",
BOARD/COMMISSION MEMBER,"CARR, MARY T",
BOARD/COMMISSION MEMBER,"CARROLL, MARCIA",
BOARD/COMMISSION MEMBER,"CARROLL, REBECCA",
BOARD/COMMISSION MEMBER,"CARROTT, MARINA",
BOARD/COMMISSION MEMBER,"CARTAGENA, JOSEPH",
BOARD/COMMISSION MEMBER,"CARTER, AMANDA",
AVIATION,"CARTER,  CORTEZ A",MANAGING DEPUTY COMMISSIONER
POLICE,"CARTER,  ERIC M",COMMANDER
BOARD/COMMISSION MEMBER,"CARTER, WARREN L",
STREETS & SAN,"CASEY,  MARTIN J",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"CASTANEDA, LISSETTE",
BOARD/COMMISSION MEMBER,"CASTILLO, GLORIA",
BOARD/COMMISSION MEMBER,"CATHEY JR, CHARLES",
BOARD/COMMISSION MEMBER,"CAUSEVIC, SAIMA",
BOARD/COMMISSION MEMBER,"CECRLE, RAE ANN",
BOARD/COMMISSION MEMBER,"CEPEDA, ADELA",
BOARD/COMMISSION MEMBER,"CEPENAS, GINTARAS P",
BOARD/COMMISSION MEMBER,"CERDA, J.D., MARTA",
BOARD/COMMISSION MEMBER,"CHAMBERS, NOEL",
BOARD/COMMISSION MEMBER,"CHANDRASEKAR, EDWIN",
BOARD/COMMISSION MEMBER,"CHAO, ANDREW",
BOARD/COMMISSION MEMBER,"CHARITY, ERVIN",
BOARD/COMMISSION MEMBER,"CHAVEZ, JUAN ANGEL",
BOARD/COMMISSION MEMBER,"CHAVEZ, JULIE",
BOARD/COMMISSION MEMBER,"CHAVIN, JILL",
TRANSPORTN,"CHEAKS,  WILLIAM H",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"CHENG, KELLY",
BOARD/COMMISSION MEMBER,"CHERNAWSKY, KIRSTIN",
BOARD/COMMISSION MEMBER,"CHI, CHARLES H",
BOARD/COMMISSION MEMBER,"CHICO, CRAIG",
FIRE,"CHIKEROTIS,  STEVE",DEPUTY DISTRICT CHIEF
BOARD/COMMISSION MEMBER,"CHIN, E RAYMOND",
BOARD/COMMISSION MEMBER,"CHIN, MATTHEW Y",
HUMAN RESOURCES,"CHOI,  SOO",COMMISSIONER OF HUMAN RESOURCES
BOARD/COMMISSION MEMBER,"CHOI, THOMAS SAHNG-YUN",
HEALTH,"CHOUCAIR,  BECHARA N",COMMISSIONER OF HEALTH
BOARD/COMMISSION MEMBER,"CHRISTENSEN, HENRIK",
BOARD/COMMISSION MEMBER,"CHRISTENSON, ALEX",
BOARD/COMMISSION MEMBER,"CHRUCKY, KATHY",
BOARD/COMMISSION MEMBER,"CICERO, SALVADOR",
MAYOR'S OFFICE,"CIORCIARI,  COREY A",ADMINISTRATIVE ASST
MAYOR'S OFFICE,"CIZNER, JENNIFER",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"CLARK, FRANK M",
BOARD/COMMISSION MEMBER,"CLARK, FRANK M",
BOARD/COMMISSION MEMBER,"CLARK, JENNIFER",
FIRE,"CLARK,  SAMUEL M",ASST DEPUTY CHIEF PARAMEDIC
BOARD/COMMISSION MEMBER,"CLAYTON, BETTY J",
REVENUE,"COBB,  PHILLIP K",MANAGING DEPUTY DIR
BOARD/COMMISSION MEMBER,"COCALIS, NICKOLAS",
BOARD/COMMISSION MEMBER,"COCCARO, PETER J",
REVENUE,"COCHRAN-PERSON,  TURRANNA",DEPUTY DIR
BOARD/COMMISSION MEMBER,"COLETTA, CAROL",
BOARD/COMMISSION MEMBER,"COLLARD, AARON",
MAYOR'S OFFICE,"COLLINS,  BROOKE E",PHOTOGRAPHER
BOARD/COMMISSION MEMBER,"COLLINS, MICHELLE L",
BOARD/COMMISSION MEMBER,"COLON, TERESA",
BOARD/COMMISSION MEMBER,"COMPISE, DARIAN",
BOARD/COMMISSION MEMBER,"CONLON, WILLIAM F",
STREETS & SAN,"CONNER JR,  ALFONZO",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"CONNOLLY, PAUL P",
BOARD/COMMISSION MEMBER,"CONNOLLY, SEAN PATRICK",
REVENUE,"CONSOLA,  TINA L",DEPUTY DIR
BOARD/COMMISSION MEMBER,"CONTRO, ANTONIA",
BOARD/COMMISSION MEMBER,"COOLIDGE, ELIZABETH",
MAYOR'S OFFICE,"COOPER,  TARRAH",ASST PRESS SECRETARY
BOARD/COMMISSION MEMBER,"COQMARD, CARMELLA",
BOARD/COMMISSION MEMBER,"CORDOVA, TERESA L",
BOARD/COMMISSION MEMBER,"CORNUE, D B+B42+B83",
BOARD/COMMISSION MEMBER,"CORONADO, NADIA",
BOARD/COMMISSION MEMBER,"CORREA, MARIO",
BOARD/COMMISSION MEMBER,"CORTAZOR, RYAN Z",
BOARD/COMMISSION MEMBER,"COSCIONI, EDDA B",
BOARD/COMMISSION MEMBER,"COTILLAS, EDUARDO M",
BOARD/COMMISSION MEMBER,"COVAL, KEVIN",
BOARD/COMMISSION MEMBER,"COX JO, TERRI",
BOARD/COMMISSION MEMBER,"COZZI, MARK",
BOARD/COMMISSION MEMBER,"CRAIG, MALCOLM",
BOARD/COMMISSION MEMBER,"CRAWFORD, DARLENE DUKE",
BOARD/COMMISSION MEMBER,"CRAWL, MATTHEW C",
STREETS & SAN,"CROCKER,  JAMES B",DEPUTY COMMISSIONER
STREETS & SAN,"CRUZ,  JOSEFINA J",DEPUTY COMMISSIONER
HUMAN RELATIONS,"CRUZ,  JUAN A",DIR / COMMUNITY LIAISON
POLICE,"CUELLO,  BEATRICE V",ASSISTANT SUPERINTENDENT
BOARD/COMMISSION MEMBER,"CUPER, FRANK",
FAMILY & SUPPORT,"CURRY,  YOLANDA Y",DEPUTY COMMISSIONER
STREETS & SAN,"CURTIS,  DERRICK G",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"CURTIS, DWIGHT E",
BOARD/COMMISSION MEMBER,"CUSACK, MAREILE B",
BOARD/COMMISSION MEMBER,"CUSIC, CANDICE C",
BOARD/COMMISSION MEMBER,"DAFKIEWICZ, VICTOR IGNACIO",
BOARD/COMMISSION MEMBER,"DALEY, COLLEEN",
BOARD/COMMISSION MEMBER,"DALEY, NORA",
BOARD/COMMISSION MEMBER,"DALLAS, HRISTOS",
POLICE,"DALY,  PATRICK J",CHIEF
PUBLIC LIBRARY,"DANCZAK-LYONS,  KAREN",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"DANIELS, CARLTON F",
STREETS & SAN,"DANIELS,  EDDIE L",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"DANIELS-HALISI, PAMELA",
BOARD/COMMISSION MEMBER,"DARRELL GRIFFIN, D. REV.",
BOARD/COMMISSION MEMBER,"DASKAL, DAVID L",
BOARD/COMMISSION MEMBER,"DATES, CHARLES E",
BOARD/COMMISSION MEMBER,"DAVIDS, MARK",
BOARD/COMMISSION MEMBER,"DAVIS, ELDORA",
BOARD/COMMISSION MEMBER,"DAVIS, LESLIE D",
BOARD/COMMISSION MEMBER,"DAVIS, MARK",
BOARD/COMMISSION MEMBER,"DAVIS, SCOTT",
MAYOR'S OFFICE,"DEAL,  AARON J",ADMINISTRATIVE ASST
BOARD/COMMISSION MEMBER,"DEFOIE, STEVEN",
BOARD/COMMISSION MEMBER,"DE FUNIAK, DAVID",
DoIT,"DEHAAN,  JASON A",CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"DEJONG, JUSTIN",
BOARD/COMMISSION MEMBER,"DELGADO COLDERO, HAYDEE",
STREETS & SAN,"DELGADO,  LINDA",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"DELGADO, NICHOLAS J",
BOARD/COMMISSION MEMBER,"DELGADO, SANDRA",
BOARD/COMMISSION MEMBER,"DELSASSO, NICOLE",
BOARD/COMMISSION MEMBER,"DEL VALLE, MARILYN",
PUBLIC LIBRARY,"DEMPSEY,  MARY A",COMMISSIONER OF CHICAGO PUBLIC LIBRARY
FIRE,"DENNIS,  JOSHUA M",CHIEF
BOARD/COMMISSION MEMBER,"DE PAOLO, JAIME A",
BOARD/COMMISSION MEMBER,"DESANTIAGO, SUSANA",
BOARD/COMMISSION MEMBER,"DIANE RICE, CYNTHIA",
FAMILY & SUPPORT,"DIAZ,  EVELYN J",COMMISSIONER OF FAMILY AND SUPPORT SERVICES
COMMUNITY DEVELOPMENT,"DICKHUT,  KATHLEEN E",DEPUTY COMMISSIONER
MAYOR'S OFFICE,"DIETTE,  THOMAS C",ADMINISTRATIVE ASST
BOARD/COMMISSION MEMBER,"DIMEO, MICHAEL",
BOARD/COMMISSION MEMBER,"DINELL-DIMOND, BONNIE",
HEALTH,"DIRCKSEN,  JAIME",DEPUTY COMMISSIONER
DISABILITIES,"DITTMAN,  LAURIE J",SENIOR POLICY ANALYST
BOARD/COMMISSION MEMBER,"DI VALERIO, MARK J",
BOARD/COMMISSION MEMBER,"DIXON, LATOYA",
BOARD/COMMISSION MEMBER,"DOHE, REBECCA",
BOARD/COMMISSION MEMBER,"DOI, TOSHIKO",
BOARD/COMMISSION MEMBER,"DOLAN, JARED",
FIRE,"DONNELLY,  PATRICK J",DEPUTY DISTRICT CHIEF
TRANSPORTN,"DONOVAN,  DAVID J",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"DOODY-JONES, H. ELISE",
BOARD/COMMISSION MEMBER,"DOORLEY, NANETTE L",
BOARD/COMMISSION MEMBER,"DOTSON, KENNETH",
BOARD/COMMISSION MEMBER,"DOYLE, MARK T",
POLICE,"DREW,  RODERICK R",DIR OF NEWS AFFAIRS
STREETS & SAN,"DROSOS,  JOHN F",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"D'SOUZA, SELMA",
BOARD/COMMISSION MEMBER,"DUARTE, JOSE",
ANIMAL CONTRL,"DUGGAN,  DARLENE",OPERATIONS MANAGER - ANIMAL CONTROL
BOARD/COMMISSION MEMBER,"DULKIN, SARA",
BOARD/COMMISSION MEMBER,DUNCAN IIESA,
BOARD/COMMISSION MEMBER,"DUNCAN, KRISTIN",
BOARD/COMMISSION MEMBER,"DUNIGAN, RYAN",
LAW,"DUNN,  JAMES L",ADMINISTRATIVE DEPUTY
BOARD/COMMISSION MEMBER,"DUQUE, OMAR",
BOARD/COMMISSION MEMBER,"DURAN, ELENA",
ENVIRONMENT,"DURNBAUGH,  AARON N",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"EADDY, MICHAEL REV",
COMMUNITY DEVELOPMENT,"EAGER,  WILLIAM F",DEPUTY COMMISSIONER
STREETS & SAN,"EASON,  HAL",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"EDEN, GLENN",
BOARD/COMMISSION MEMBER,"EDENS, JACQUELINE C",
FIRE,"EDGEWORTH,  RICHARD A",DEPUTY COMMISSIONER
FIRE,"EDINGBURG,  MARK S",CHIEF
BOARD/COMMISSION MEMBER,"EDWARDS, DONALD JOSEPH",
BOARD/COMMISSION MEMBER,"EDWARDS, LESLIE",
BOARD/COMMISSION MEMBER,"EDWARDS, WILLIAM",
BOARD/COMMISSION MEMBER,"EGAN, TIM",
BOARD/COMMISSION MEMBER,"EGAN, TIMOTHY K.",
