branch,address,city,zip,january,february,march,april,may,june,july,august,september,october,november,december,ytd,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
Jeffery Manor,2401 E. 100th St.,Chicago,60617,1092,934,543,0,0,209,305,441,488,477,284,373,5146,"{'type': 'Point', 'coordinates': [-87.565489, 41.713513]}",25,48,21202,252,37
Kelly,6151 S. Normal Blvd.,Chicago,60621,1123,811,543,0,0,261,493,594,484,480,394,404,5587,"{'type': 'Point', 'coordinates': [-87.637516, 41.78199]}",11,66,21559,166,4
King,3436 S. King Dr.,Chicago,60616,1721,1616,858,0,0,24,598,752,787,810,608,721,8495,"{'type': 'Point', 'coordinates': [-87.61733500000001, 41.832238000000004]}",40,1,21194,190,10
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,0,0,40,40,"{'type': 'Point', 'coordinates': [-87.725593, 41.879302]}",30,27,21572,736,23
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,954,811,516,0,0,226,364,448,496,516,322,318,4971,"{'type': 'Point', 'coordinates': [-87.670434, 41.940599]}",22,57,4449,742,18
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,937,935,505,0,0,249,408,430,389,475,372,401,5101,"{'type': 'Point', 'coordinates': [-87.658126, 41.925316]}",16,68,21190,795,34
Little Italy,1336 W. Taylor St.,Chicago,60607,1588,1481,802,0,0,205,396,412,452,456,351,215,6358,"{'type': 'Point', 'coordinates': [-87.660263, 41.869359]}",44,29,14917,759,23
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1554,1463,882,0,0,225,429,520,594,628,487,484,7266,"{'type': 'Point', 'coordinates': [-87.705179, 41.849599]}",57,32,21569,261,1
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1643,1409,811,0,0,305,698,729,680,0,510,611,7396,"{'type': 'Point', 'coordinates': [-87.703483, 41.924806]}",1,23,22535,549,40
Lozano,1805 S. Loomis St.,Chicago,60608,1886,1696,957,0,0,392,693,800,755,913,657,506,9255,"{'type': 'Point', 'coordinates': [-87.661298, 41.857604]}",43,33,14920,365,26
Manning,6 S. Hoyne Ave.,Chicago,60612,1691,1499,0,0,0,0,0,0,0,0,0,0,3190,"{'type': 'Point', 'coordinates': [-87.679091, 41.881026]}",28,29,21184,89,46
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,682,514,307,0,0,164,254,323,272,295,204,215,3230,"{'type': 'Point', 'coordinates': [-87.738158, 41.96815]}",48,14,21869,751,38
McKinley Park,1915 W. 35th St.,Chicago,60609,840,745,467,0,0,145,239,273,252,290,238,247,3736,"{'type': 'Point', 'coordinates': [-87.67345, 41.830421]}",43,56,14924,192,1
Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,0,470,554,566,561,456,511,3118,"{'type': 'Point', 'coordinates': [-87.646055, 41.940054]}",22,57,4449,730,25
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,699,719,460,0,0,191,292,337,341,378,288,355,4060,"{'type': 'Point', 'coordinates': [-87.700878, 41.692925]}",33,73,4447,369,42
Near North,310 W. Division St.,Chicago,60610,1365,1274,654,0,0,238,390,408,410,397,327,348,5811,"{'type': 'Point', 'coordinates': [-87.636644, 41.903838]}",54,37,14926,290,11
North Austin,5724 W. North Ave.,Chicago,60639,1325,1221,670,0,0,219,495,675,588,551,433,467,6644,"{'type': 'Point', 'coordinates': [-87.768878, 41.909401]}",2,26,22615,597,7
North Pulaski,4300 W. North Ave.,Chicago,60639,936,776,438,0,0,170,330,333,361,361,294,261,4260,"{'type': 'Point', 'coordinates': [-87.733923, 41.909856]}",2,24,22615,285,49
Northtown,6800 N. Western Ave.,Chicago,60645,2271,2341,1374,0,0,561,957,1119,1083,1092,934,980,12712,"{'type': 'Point', 'coordinates': [-87.690175, 42.00536]}",12,20,22528,42,27
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,641,578,361,0,0,301,372,403,393,405,469,429,4352,"{'type': 'Point', 'coordinates': [-87.813329, 41.978015]}",31,36,4448,735,29
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,1279,1198,714,0,0,408,609,761,686,729,629,683,7696,"{'type': 'Point', 'coordinates': [-87.754875, 41.938748]}",21,15,22618,114,17
Pullman,11001 S. Indiana Ave.,Chicago,60628,1158,1037,613,0,0,202,396,367,0,0,238,370,4381,"{'type': 'Point', 'coordinates': [-87.618295, 41.694366]}",19,45,21861,237,43
Roden,6083 N. Northwest Hwy.,Chicago,60631,101,521,356,0,0,208,299,121,244,283,224,223,2580,"{'type': 'Point', 'coordinates': [-87.798265, 41.991862]}",17,36,22243,657,29
Rogers Park,6907 N. Clark St.,Chicago,60626,2549,2298,1243,0,0,423,720,738,737,700,204,550,10162,"{'type': 'Point', 'coordinates': [-87.67344, 42.006673]}",9,10,21853,49,5
Scottsdale,4101 W. 79th St.,Chicago,60652,677,644,376,0,0,180,316,372,272,315,280,336,3768,"{'type': 'Point', 'coordinates': [-87.724291, 41.749388]}",8,69,4300,235,30
Sherman Park,5440 S. Racine Ave.,Chicago,60609,901,734,414,0,0,158,256,327,329,207,247,287,3860,"{'type': 'Point', 'coordinates': [-87.65487, 41.794843]}",37,59,14924,791,4
South Chicago,9055 S. Houston Ave.,Chicago,60617,2022,1771,992,0,0,290,509,603,676,663,541,0,8067,"{'type': 'Point', 'coordinates': [-87.549849, 41.730371]}",25,42,21202,175,47
South Shore,2505 E. 73rd St.,Chicago,60649,0,887,837,0,0,390,672,781,770,825,550,444,6156,"{'type': 'Point', 'coordinates': [-87.563672, 41.762654]}",24,39,22538,417,37
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,6028,5439,3092,0,0,1348,2236,2301,1921,2086,1740,1581,27772,"{'type': 'Point', 'coordinates': [-87.684637, 41.962677]}",20,6,21849,667,18
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,2345,2099,1115,0,0,333,790,936,926,1090,766,765,11165,"{'type': 'Point', 'coordinates': [-87.65393, 41.757373]}",59,70,21554,572,31
Toman,2708 S. Pulaski Rd.,Chicago,60623,1537,1311,845,0,0,275,582,724,652,725,571,603,7825,"{'type': 'Point', 'coordinates': [-87.724477, 41.842073]}",57,32,21569,227,28
Uptown,929 W. Buena Ave.,Chicago,60613,1740,1579,935,0,0,377,642,637,659,634,520,531,8254,"{'type': 'Point', 'coordinates': [-87.654217, 41.95846]}",53,31,21186,577,39
Vodak-East Side,3710 E. 106th St.,Chicago,60617,367,911,615,0,0,210,349,372,342,349,367,451,4333,"{'type': 'Point', 'coordinates': [-87.533513, 41.70272]}",25,49,21202,715,47
Walker,11071 S. Hoyne Ave.,Chicago,60643,435,416,220,0,0,32,215,232,196,230,132,164,2272,"{'type': 'Point', 'coordinates': [-87.674251, 41.692445]}",13,74,22212,380,42
Water Works,163 E. Pearson Street,Chicago,60611,372,333,203,0,0,0,0,0,0,0,0,0,908,"{'type': 'Point', 'coordinates': [-87.623239, 41.89761]}",6,37,21182,233,11
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1069,960,626,0,0,139,370,395,389,404,337,386,5075,"{'type': 'Point', 'coordinates': [-87.785858, 41.936833]}",52,19,22254,81,44
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,1732,1591,897,0,0,264,478,484,491,495,366,366,7164,"{'type': 'Point', 'coordinates': [-87.74730500000001, 41.895019]}",5,26,4299,578,45
West Englewood,1745 W. 63rd St.,Chicago,60636,1974,1784,1002,0,0,228,382,450,522,541,357,411,7651,"{'type': 'Point', 'coordinates': [-87.66821, 41.779364]}",23,65,22257,280,3
West Lawn,4020 W. 63rd St.,Chicago,60629,1120,1055,613,0,0,226,394,481,471,573,383,369,5685,"{'type': 'Point', 'coordinates': [-87.723756, 41.778629]}",58,63,21867,6,6
West Loop,122 N. Aberdeen St.,Chicago,60607,544,527,278,0,0,113,157,179,176,185,173,156,2488,"{'type': 'Point', 'coordinates': [-87.654421, 41.883595]}",44,29,14917,63,46
West Pullman,830 W. 119th St.,Chicago,60643,2450,2211,1331,0,0,510,871,933,1035,1144,779,778,12042,"{'type': 'Point', 'coordinates': [-87.64332700000001, 41.677819]}",13,50,22212,642,22
West Town,1625 W. Chicago Ave.,Chicago,60622,1248,1135,651,0,0,205,314,409,415,430,411,415,5633,"{'type': 'Point', 'coordinates': [-87.668233, 41.89606]}",4,25,21560,518,41
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,2990,2628,1557,0,0,416,893,1173,1068,1025,895,967,13612,"{'type': 'Point', 'coordinates': [-87.61416, 41.751132]}",61,67,21546,496,32
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,6890,6733,4216,0,0,1335,2396,2392,2600,2704,2091,2008,33365,"{'type': 'Point', 'coordinates': [-87.643122, 41.72067400000001]}",19,72,21861,593,13
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1083,877,513,0,0,272,421,439,447,482,267,338,5139,"{'type': 'Point', 'coordinates': [-87.70209, 41.738313]}",8,69,4300,198,30
