fund_type,department_code,department_description,fund_code,fund_description,organization_code,organization_description,division_code,division_description,section_code,section_description,subsection_code,schedule_grade,bargaining_unit,title_code,title_description,budgeted_unit,total_budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,sub_section_description
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9684,Deputy Director,Annual,1,1,137700.00,137700.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,185004.00,185004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,180000.00,180000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,154998.00,154998.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,136002.00,136002.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,130002.00,130002.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,112284.00,112284.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,112200.00,112200.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,165000.00,165000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,83004.00,83004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,73500.00,73500.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,72000.00,72000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,68352.00,68352.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,64056.00,64056.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,63240.00,63240.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,62004.00,62004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,56004.00,56004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,2,1,50004.00,100008.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9617,Administrative Secretary,Annual,1,1,56004.00,56004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9617,Administrative Secretary,Annual,1,1,50004.00,50004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,70380.00,70380.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,66300.00,66300.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9642,Deputy Press Secretary,Annual,1,1,130002.00,130002.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,0,9637,Administrative Assistant,Annual,1,1,70002.00,70002.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,0,9637,Administrative Assistant,Annual,1,1,50004.00,50004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,115200.00,115200.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,112320.00,112320.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,110004.00,110004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,66300.00,66300.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9615,Press Secretary,Annual,1,1,150000.00,150000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0925,Photographer,Annual,1,1,66732.00,66732.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0744,Press Aide II,Annual,1,1,52728.00,52728.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide I,Annual,1,1,66300.00,66300.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,125004.00,125004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,72504.00,72504.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,125004.00,125004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9807,Legislative Assistant,Annual,1,1,73440.00,73440.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9807,Legislative Assistant,Annual,1,1,57720.00,57720.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,169002.00,169002.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,125004.00,125004.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,118980.00,118980.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,76500.00,76500.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,72000.00,72000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,68502.00,68502.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,0,9637,Administrative Assistant,Annual,1,1,99996.00,99996.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,0,9637,Administrative Assistant,Annual,1,1,75000.00,75000.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,0,9637,Administrative Assistant,Annual,1,1,66300.00,66300.00,
Local,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,1 00,0,9637,Administrative Assistant,Annual,1,1,62976.00,62976.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,1 00,9,9903,Inspector General,Annual,1,1,161856.00,161856.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 14,10,1727,Information Analyst - IG,Annual,1,1,54636.00,54636.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,65820.00,65820.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,GY 11,10,1719,Senior Forensic Data Analyst,Annual,1,1,91188.00,91188.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,89076.00,89076.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,57252.00,57252.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,68220.00,68220.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 12,10,0645,Technical Support Administrator - IG,Annual,1,1,45408.00,45408.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0634,Data Services Administrator,Annual,1,1,89076.00,89076.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,2,1,45408.00,90816.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,BX 17,20,0126,Financial Officer,Annual,1,1,80376.00,80376.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8946.00,8946.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,1 00,9,9665,First Deputy Inspector General,Annual,1,1,137052.00,137052.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,GY 08,20,1368,Compliance Officer,Annual,2,1,76536.00,153072.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,3 00,0,1262,Assistant Inspector General,Annual,4,1,102084.00,408336.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,3 00,0,1216,Chief of Hiring Oversight,Annual,1,1,101664.00,101664.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,120408.00,120408.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,B 13,1,0308,Staff Assistant,Annual,1,1,76932.00,76932.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,4089.00,4089.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,1 00,9,9659,Deputy Inspector General,Annual,1,1,129156.00,129156.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,3 00,0,1260,Chief Investigator - IG,Annual,1,1,101664.00,101664.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,45408.00,90816.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1222,Investigator III - IG,Annual,3,1,92088.00,276264.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1222,Investigator III - IG,Annual,1,1,70020.00,70020.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,GY 07,0,1221,Investigator II - IG,Annual,1,1,65496.00,65496.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,GY 06,0,1219,Investigator I - IG,Annual,1,1,62448.00,62448.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,GY 06,0,1219,Investigator I - IG,Annual,3,1,59448.00,178344.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,120408.00,120408.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,14684.00,14684.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,3,1,76536.00,229608.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 07,20,1125,Performance Analyst,Annual,1,1,68100.00,68100.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6006.00,6006.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,1 00,9,9659,Deputy Inspector General,Annual,1,1,137052.00,137052.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,BX 14,10,1727,Information Analyst - IG,Annual,1,1,54636.00,54636.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,65820.00,65820.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,10,1288,Forensic Audit Investigator,Annual,3,1,68100.00,204300.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,1260,Chief Investigator - IG,Annual,1,1,101664.00,101664.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,120408.00,120408.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,1127,Chief Performance Analyst,Annual,2,1,101664.00,203328.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1126,Senior Performance Analyst,Annual,2,1,70020.00,140040.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,68100.00,68100.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 07,20,1125,Performance Analyst,Annual,2,1,65496.00,130992.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 07,20,1125,Performance Analyst,Annual,5,1,62448.00,312240.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,68220.00,68220.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,0705,Director of Public Affairs,Annual,1,1,101664.00,101664.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 09,10,0641,Forensic Data Analyst,Annual,1,1,76536.00,76536.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,45408.00,45408.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,43308.00,43308.00,
Local,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10062.00,10062.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,1 00,9,9905,Budget Director,Annual,1,1,169992.00,169992.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,1 00,9,9868,First Deputy Budget Director,Annual,1,1,140004.00,140004.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,BX 15,20,0305,Assistant to the Executive Director,Annual,1,1,93300.00,93300.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,1 00,9,9656,Deputy Budget Director,Annual,1,1,124080.00,124080.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,1 00,9,9656,Deputy Budget Director,Annual,1,1,118056.00,118056.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,1 00,9,9656,Deputy Budget Director,Annual,1,1,110076.00,110076.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,92088.00,92088.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,3 00,9,1124,Assistant Budget Director,Annual,2,1,100656.00,201312.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,84324.00,84324.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,68100.00,68100.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,GY 07,20,1105,Senior Budget Analyst,Annual,3,1,65496.00,196488.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,70620.00,70620.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,3 00,0,0229,Chief Revenue Analyst,Annual,1,1,101664.00,101664.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8008.00,8008.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3055,Management Initiatives,0,3 00,10,1140,Chief Operations Analyst,Annual,1,1,98688.00,98688.00,
Local,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3055,Management Initiatives,0,3 00,10,1140,Chief Operations Analyst,Annual,1,1,80076.00,80076.00,
