key,site_name,description,address,city,state,zip,phone_number,url,ages_served,ages_0_3,ages_3_5,weekday_availability,program_information,other_features,accreditation,quality,quality_rating,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
861,Adlai E Stevenson Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",8010 S Kostner Ave,Chicago,IL,60652,(773) 535-2280,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610185 ,3 years to 5 years,False,True,"Full Week, Half Day",CPS Based,,None,gold,Gold,41.74729299999998,-87.73157999999997,"{'latitude': '41.747293', 'longitude': '-87.73158'}",23,4300,69,235,30
738,Agustin Lara Elementary Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",4619 S Wolcott Ave,Chicago,IL,60609,(773) 535-4389,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609993,3 years to 5 years,False,True,"Full Week, Full Day, Half Day",CPS Based,,None,silver,Silver,41.809473999999994,-87.67226199999999,"{'latitude': '41.809474', 'longitude': '-87.672262'}",53,14924,59,706,3
207,Alain Locke Charter School,"<p>Our Pre-K and Preschool programs support development in social/emotional, physical, cognitive, language arts, vocabulary, science and social studies skills as well as explore the arts and build independence in children ages 3-5 years of age. We provide exciting, engaging, meaningful, and ""real"" hands-on learning experiences to help develop these skills and provide l opportunities to meet all of the needs of our students..</p>",3141 W Jackson Blvd,Chicago,IL,60612,(773) 265-7232,http://www.accelerateinstitute.org,3-5,False,True,"Full Week, Part Week, Half Day",Community Based,,None,licensed,Licensed,41.877174999999966,-87.70513099999998,"{'latitude': '41.877175', 'longitude': '-87.705131'}",11,21184,28,737,23
211,Albany Park Community Center - Ainslie,"<p>This site offers a comprehensive full day, full year preschool program for low income, at-risk children and their families promoting the social, emotional, cognitive and physical well-being of children ages 3 to 5 with the goal of preparing children for a lifetime of learning and success. The program is accredited by the National Association for the Education of Young Children (NAEYC). This site also offers an After School School Age program for children Kindergarten-Third Grade.</p>",3401 W Ainslie Ave,Chicago,IL,60625,(773) 599-5907,http://www.apcc-chgo.org,3-5,False,True,"Full Week, Full Day",Community Based,,NAEYC,gold,Gold,41.97021299999998,-87.71340999999998,"{'latitude': '41.970213', 'longitude': '-87.71341'}",28,21849,14,750,20
212,Albany Park Community Center - Uptown,"<p>This site offers a variety of comprehensive preschool programs for low income, at-risk children and their families promoting the social, emotional, cognitive and physical well-being of children ages 3 to 5 with the goal of preparing children for a lifetime of learning and success. The program is accredited by the National Association for the Education of Young Children (NAEYC).</p>",1020 W Bryn Mawr Ave,Chicago,IL,60660,(773) 769-3197,http://www.apcc-chgo.org,3-5,False,True,"Full Week, Part Week, Full Day, Half Day","Community Based, Head Start",Accepts CCAP,NAEYC,gold,Gold,41.98375099999998,-87.656375,"{'latitude': '41.983751', 'longitude': '-87.656375'}",40,22616,76,14,16
881,Alessandro Volta Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",4950 N Avers Ave,Chicago,IL,60625,(773) 534-5080,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610209 ,3 years to 5 years,False,True,"Full Week, Half Day",CPS Based,,None,gold,Gold,41.97100799999997,-87.72447599999998,"{'latitude': '41.971008', 'longitude': '-87.724476'}",28,21849,14,127,38
680,Alexander Graham Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",745 W 45th St,Chicago,IL,60609,(773) 535-1308,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609947,3 years to 5 years,False,True,"Full Week, Full Day","CPS Based, Head Start",,None,licensed,Licensed,41.812673905205884,-87.6440711349188,"{'latitude': '41.812673905206', 'longitude': '-87.644071134919'}",26,14924,59,123,48
692,Alex Haley Elementary Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",11411 S Eggleston Ave,Chicago,IL,60628,(773) 535-5340,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609808,3 years to 5 years,False,True,"Full Week, Full Day","CPS Based, Head Start",,None,gold,Gold,41.686790999999985,-87.633728,"{'latitude': '41.686791', 'longitude': '-87.633728'}",45,21861,45,486,22
791,Alfred Nobel Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",4127 W Hirsch St,Chicago,IL,60651,(773) 534-4365,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610098,3 years to 5 years,False,True,"Full Week, Half Day",CPS Based,,None,gold,Gold,41.906233999999976,-87.729492,"{'latitude': '41.906234', 'longitude': '-87.729492'}",4,4299,24,286,49
554,Alice L Barnard Computer Math & Science Center Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",10354 S Charles St,Chicago,IL,60643,(773) 535-2625,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609788,3 years to 5 years,False,True,"Full Week, Half Day",CPS Based,,None,gold,Gold,41.706056,-87.65836299999998,"{'latitude': '41.706056', 'longitude': '-87.658363'}",33,22212,71,630,42
213,All About Kids Learning Academy,"<p>At All About Kids Learning Academy we focus on creating a positive environment for everyone involved in the process of developing the foundation for educating our children. We offers an exciting fun-filled learning environment for children between the ages of 6 weeks and 5 years of age.  Our curriculum focuses on language development, intellectual development , social and emotional development, and fine and gross motor skill development. We engage our families and expecting moms and dads-to-be in a variety of parenting workshops, programs and activities. We have a dream team teaching staff who are greatly supported in professional development training,reflective teaching practices, and much more. Come by and see the exciting things going on at All About Kids Learning Academy.</p>",514 E 75th St,Chicago,IL,60619,(773) 892-2800,http://www.allaboutkidslearningacademy.com,6 weeks to 5 years,True,True,Full Day,"Community Based, Head Start",Accepts CCAP,QRS level 2,silver,Silver,41.758682999999984,-87.61194599999999,"{'latitude': '41.758683', 'longitude': '-87.611946'}",31,21546,67,515,32
215,Allison's Infant and Toddler Center - Englewood,"<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>",5522 S Racine Ave,Chicago,IL,60636,(773) 436-3193,http://www.allisonsinfantandtoddler.com,0 years to 6 years,True,True,"Full Week, Part Week, Full Day, Half Day","Community Based, Head Start",Accepts CCAP,NAEYC,gold,Gold,41.79308499999998,-87.65520699999999,"{'latitude': '41.793085', 'longitude': '-87.655207'}",19,22257,65,297,2
217,Allison's Infant and Toddler Center - Park Manor/Greater Grand Crossing,"<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>",440-442 E 71st St,Chicago,IL,60619,(773) 952-4391,http://www.allisonsinfantandtoddlercenter.com,6 weeks to 5 years,True,True,"Full Week, Full Day, Half Day","Community Based, Head Start, Early Head Start",Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.765840999999966,-87.613671,"{'latitude': '41.765841', 'longitude': '-87.613671'}",31,22260,67,480,32
218,Allison's Infant and Toddler Center - Roseland,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with Allison's.  Through this partnership, Allison's offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",234 E 115th St,Chicago,IL,60628,(773) 840-4502,http://www.allisonsinfantandtoddlercenter.com,6 weeks to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day","Community Based, Head Start, Early Head Start",Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.685618,-87.616601,"{'latitude': '41.685618', 'longitude': '-87.616601'}",30,21861,45,253,43
860,Amos Alonzo Stagg Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",7424 S Morgan St,Chicago,IL,60621,(773) 535-3565,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610339 ,3 years to 5 years,False,True,"Full Week, Half Day","CPS Based, Head Start",,None,silver,Silver,41.75870399999998,-87.64911699999999,"{'latitude': '41.758704', 'longitude': '-87.649117'}",17,21559,66,512,31
596,Andrew Carnegie Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",1414 E 61st Pl,Chicago,IL,60637,(773) 535-0530,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609837,3 years to 5 years,False,True,"Full Week, Full Day",CPS Based,,None,gold,Gold,41.783278999999986,-87.591067,"{'latitude': '41.783279', 'longitude': '-87.591067'}",53,22260,9,469,4
737,Anna R Langford Community Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",6010 S Throop St,Chicago,IL,60636,(773) 535-9180,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609869,3 years to 5 years,False,True,"Full Week, Full Day","CPS Based, Head Start",,None,gold,Gold,41.784751,-87.65707,"{'latitude': '41.784751', 'longitude': '-87.65707'}",19,22257,65,278,2
822,A N Pritzker School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",2009 W Schiller St,Chicago,IL,60622,(773) 534-4415,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610229,3 years to 5 years,False,True,"Full Week, Half Day",CPS Based,,None,gold,Gold,41.90695599999999,-87.67789,"{'latitude': '41.906956', 'longitude': '-87.67789'}",24,21560,25,481,41
1006,Appeals for Charities,,50 W 71st St,Chicago,IL,60621,,,None,,True,None,Community Based,,None,licensed,Licensed,41.76571089728055,-87.62714666935149,"{'latitude': '41.765710897281', 'longitude': '-87.627146669351'}",31,21559,67,513,32
401,Archdiocese of Chicago - Augustus Tolton,"<p>St. Columbanus School provides a full day curriculm consisting of language arts, math, science, social studies, computer, gym, art,and music.  The before and after school programs are available to those who need it.
We focus on developing a positive self image. Students are rewarded for good behavior, academic acheivement, and being a positive role model. Our school motto is: Good, Better, Best never let it rest, Til the Good is Better and the Better is Best.</p>",7120 S Calumet Ave,Chicago,IL,60619,(773) 224-3811,http://www.toltonacademy.org,3 years to 8 grade,True,True,"Full Week, Full Day",Community Based,Accepts CCAP,Advanced Ed Candidate,licensed,Licensed,41.76492799999999,-87.61731799999997,"{'latitude': '41.764928', 'longitude': '-87.617318'}",31,21546,67,474,32
283,Archdiocese of Chicago - Epiphany,"<p>Epiphany's preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",4223 W 25th St,Chicago,IL,60623,773.762.1542,http://www.epiphanychicago.org,3 years to 8 grade,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,ISBE Recognition; AdvancEd candidate,licensed,Licensed,41.84588599999998,-87.73028299999996,"{'latitude': '41.845886', 'longitude': '-87.730283'}",14,21569,32,194,28
355,Archdiocese of Chicago - Maternity BVM,"<p>Maternity BVM is a Catholic school which offers full day preschool to three and four year old children.  We promote academic excellence in a faith-filled environment.  Our preschool program prepares our children for kindergarten.  Our students participate in physical education classes, art, music, and computer classes.  Students can be dropped off as early as 6:30 a.m., and can be picked up as late as 6:00 p.m.</p>",1537 N Lawndale Ave,Chicago,IL,60651,(773) 227-1140,http://www.maternitybvmchicago.com,3 years to 8 grade,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,AdvanceEd NCA,licensed,Licensed,41.90923999999996,-87.71884899999999,"{'latitude': '41.90924', 'longitude': '-87.718849'}",10,4299,24,454,49
374,Archdiocese of Chicago - Our Lady of Grace,"<p>Our Lady of Grace preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",2446 N Ridgeway Ave,Chicago,IL,60647,(773) 342-0170,http://www.olgchicago.org,3 years to 5 years,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.92582399999999,-87.72084999999998,"{'latitude': '41.925824', 'longitude': '-87.72085'}",15,22535,23,186,17
377,Archdiocese of Chicago - Our Lady of Tepeyac,"<p>Our Lady of Tepeyac preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",2235 S Albany Ave,Chicago,IL,60623,(773) 522-0024,http://www.tepeyacelementary.org,3 years to 4 years,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,ISBE Recognition; AdvancEd candidate,licensed,Licensed,41.85077099999993,-87.702753,"{'latitude': '41.850771', 'longitude': '-87.702753'}",36,21569,32,261,1
380,Archdiocese of Chicago - Our Lady of the Snow,"<p>Our Lady of the Snows preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",4810 S Leamington Ave,Chicago,IL,60638,(773) 735-4810,http://www.ourladyofsnowschicago.org,3 years to 8 grade,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.805508999999994,-87.751686,"{'latitude': '41.805509', 'longitude': '-87.751686'}",35,22268,53,605,28
385,Archdiocese of Chicago - Pope John Paul II,<p>Pope John Paul II Catholic School provides a full and half day preschool program for 3 and 4 year old children. We have two classrooms with both a teacher and an aid. Our program is recognized by the Archdiocese of Chicago and Illinois State Board of Education.</p><p>Our preschool program provides many unique features to enhance your child's early learning and development and prepare him or her for the grades ahead at PJPII.</p>,4325 S Richmond Ave,Chicago,IL,60632,(773) 523-6161,http://www.pjpiischool.com,3 years to 8 grade,False,True,"Full Week, Part Week, Full Day, Half Day",Community Based,Accepts CCAP,None,licensed,Licensed,41.815033999999976,-87.698059,"{'latitude': '41.815034', 'longitude': '-87.698059'}",49,22248,55,156,3
386,Archdiocese of Chicago - Queen of the Universe,"<p>Queen of the Universe preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",7130 S Hamlin Ave,Chicago,IL,60629,(773) 582-4266,http://www.qofu.org,3 years to 4 years,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.76337500000001,-87.71748699999998,"{'latitude': '41.763375', 'longitude': '-87.717487'}",23,21867,63,317,15
