fund_type,department_code,department_description,fund_code,fund_description,organization_code,organization_description,division_code,division_description,section_code,section_description,sub_section_code,schedule_grade,bargaining_unit,title_code,title_description,budgeted_unit,total_budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,sub_section_description
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,Correspondence,0,1 00,0,9637,Administrative Assistant,Annual,1,1,54084.00,54084,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,126000.00,126000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9876,Scheduler,Annual,1,1,73920.00,73920,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9876,Scheduler,Annual,1,1,57792.00,57792,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9870,Advance,Annual,1,1,52536.00,52536,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9870,Advance,Annual,1,1,51504.00,51504,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9899,Chief of Staff,Annual,1,1,204756.00,204756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,112464.00,112464,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,189000.00,189000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,93768.00,93768,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9855,Assistant Director - Mayor's Office,Annual,1,1,135204.00,135204,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,87984.00,87984,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,69276.00,69276,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,66840.00,66840,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,61668.00,61668,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,58752.00,58752,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,56244.00,56244,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,128112.00,128112,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9854,Communications Director,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9642,Deputy Press Secretary,Annual,1,1,126360.00,126360,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,97332.00,97332,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,2,1,84060.00,168120,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9615,Press Secretary,Annual,1,1,126000.00,126000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0925,Photographer,Annual,1,1,86112.00,86112,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0744,Press Aide II,Annual,1,1,79008.00,79008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,3,1,68268.00,204804,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,1,1,68256.00,68256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,2,1,54084.00,108168,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,1 00,9,9896,Chief Financial Officer,Annual,1,1,178488.00,178488,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,1 00,0,9637,Administrative Assistant,Annual,1,1,60684.00,60684,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,135528.00,135528,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,105648.00,105648,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,78756.00,78756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,162744.00,162744,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,78756.00,78756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,0,3858,Director / Community Liaison,Annual,1,1,78756.00,78756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,131508.00,131508,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,131268.00,131268,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9872,Deputy Mayor,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,132372.00,132372,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,115560.00,115560,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,1 00,9,9872,Deputy Mayor,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,89256.00,89256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,97002.00,97002,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,135204.00,135204,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,128676.00,128676,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9872,Deputy Mayor,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9855,Assistant Director - Mayor's Office,Annual,2,1,135204.00,270408,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9807,Legislative Assistant,Annual,3,1,73512.00,220536,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,3 00,9,9804,Senior Legislative Asst,Annual,4,1,87456.00,349824,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,146724.00,146724,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,Office of Risk Management,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,Office of Risk Management,0,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,168012.00,168012,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,Office of Risk Management,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,78756.00,78756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,125100.00,125100,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9671,Chief Diversity Officer,Annual,1,1,114408.00,114408,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,135204.00,135204,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,100002.00,100002,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9872,Deputy Mayor,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,63000.00,63000,
Local,15,COUNCIL,0100,Corporate Fund,1005,CITY COUNCIL,2005,City Council,3005,City Council,0,1 00,9,9601,Alderman,Annual,1,1,120406.00,120406,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,115008.00,115008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,90312.00,90312,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,4,1,89256.00,357024,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,88200.00,88200,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9872,Deputy Mayor,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,141756.00,141756,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,0,9637,Administrative Assistant,Annual,1,1,55164.00,55164,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,173256.00,173256,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,128112.00,128112,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,126000.00,126000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,89256.00,178512,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,157500.00,157500,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,97332.00,97332,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,91920.00,91920,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,84012.00,84012,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,1 00,9,9903,Inspector General,Annual,1,1,178488.00,178488,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 14,10,1727,Information Analyst - IG,Annual,2,1,56424.00,112848,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,79176.00,79176,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,75624.00,75624,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,2,1,71196.00,142392,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,67944.00,67944,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 10,20,1719,Senior Forensic Data Analyst,Annual,1,1,103056.00,103056,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,3 00,0,1717,Chief Data and Information Analyst,Annual,1,1,115560.00,115560,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,110688.00,110688,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,73644.00,73644,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,67944.00,67944,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0790,Public Relations Coordinator,Annual,2,1,82968.00,165936,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,20,0729,Information Coordinator,Annual,1,1,67944.00,67944,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,3 00,0,0705,Director of Public Affairs,Annual,1,1,109944.00,109944,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,10,06A4,Data Services Administrator-Excluded,Annual,1,1,100896.00,100896,
Local,15,COUNCIL,0100,Corporate Fund,1005,CITY COUNCIL,2005,City Council,3005,City Council,0,1 00,9,9601,Alderman,Annual,3,1,119984.00,359952,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 13,10,0645,Technical Support Administrator - IG,Annual,1,1,53892.00,53892,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 09,10,0641,Forensic Data Analyst,Annual,2,1,90288.00,180576,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 09,10,0641,Forensic Data Analyst,Annual,3,1,79176.00,237528,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,51408.00,51408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,49116.00,49116,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,46836.00,46836,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,20,0126,Financial Officer,Annual,1,1,96336.00,96336,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,21681.00,21681,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,9,9756,General Counsel,Annual,1,1,148200.00,148200,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,10,1645,Associate Staff Attorney,Annual,1,1,64896.00,64896,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,GY 08,20,1368,Compliance Officer,Annual,1,1,99588.00,99588,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,GY 08,20,1368,Compliance Officer,Annual,1,1,73644.00,73644,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,0,1262,Assistant Inspector General,Annual,5,1,110412.00,552060,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,0,1202,Associate General Counsel - IG,Annual,2,1,130200.00,260400,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,B 13,1,0308,Staff Assistant,Annual,1,1,93660.00,93660,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,990.00,990,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,1 00,9,9659,Deputy Inspector General,Annual,1,1,139680.00,139680,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,3 00,0,1260,Chief Investigator - IG,Annual,1,1,113280.00,113280,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,51408.00,51408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,49116.00,49116,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,46836.00,46836,
Local,31,LAW,0100,Corporate Fund,1005,LAW,2005,Department of Law,3019,Torts,4001,B 13,1,1617,Paralegal II,Annual,1,1,66984.00,66984,Corporate Torts
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 09,0,1222,Investigator III - IG,Annual,3,1,108900.00,326700,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 09,0,1222,Investigator III - IG,Annual,1,1,82764.00,82764,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1221,Investigator II - IG,Annual,1,1,82764.00,82764,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1221,Investigator II - IG,Annual,1,1,75732.00,75732,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 06,0,1219,Investigator I - IG,Annual,3,1,61176.00,183528,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,49116.00,49116,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10593.00,10593,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,90288.00,90288,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,82764.00,82764,
