census_block,census_block_full,total_population
0103001005,170310103001005,90
0103001006,170310103001006,158
0103001007,170310103001007,143
0103002000,170310103002000,275
0103002001,170310103002001,86
0103002002,170310103002002,159
0103002003,170310103002003,0
0103002004,170310103002004,149
0103002005,170310103002005,136
0103002006,170310103002006,38
0103002007,170310103002007,0
0103002008,170310103002008,0
0103002009,170310103002009,184
0103002010,170310103002010,90
0103002011,170310103002011,196
0103002012,170310103002012,233
0103002013,170310103002013,145
0103002014,170310103002014,90
0103002015,170310103002015,299
0103002016,170310103002016,93
0103002017,170310103002017,6
0103003000,170310103003000,647
0103003001,170310103003001,68
0103003002,170310103003002,222
0103003003,170310103003003,170
0103003004,170310103003004,53
0103003005,170310103003005,198
0103003006,170310103003006,39
0103003007,170310103003007,253
0103004000,170310103004000,84
0103004001,170310103004001,181
0103004002,170310103004002,29
0103004003,170310103004003,32
0103004004,170310103004004,220
0103004005,170310103004005,0
0103004006,170310103004006,65
0103004007,170310103004007,272
0103004008,170310103004008,45
0103004009,170310103004009,14
0103004010,170310103004010,108
0103004011,170310103004011,109
0103004012,170310103004012,85
0103004013,170310103004013,88
0103004014,170310103004014,128
0104001000,170310104001000,136
0104001001,170310104001001,140
0104001002,170310104001002,444
0104001003,170310104001003,304
0104001004,170310104001004,251
0104001005,170310104001005,4
0104001006,170310104001006,186
0104002000,170310104002000,0
0104002001,170310104002001,142
0104002002,170310104002002,120
0104002003,170310104002003,0
0104002004,170310104002004,202
0104002005,170310104002005,136
0104002006,170310104002006,124
0104002007,170310104002007,109
0104003001,170310104003001,5
0104003002,170310104003002,52
0104003003,170310104003003,268
0104003004,170310104003004,200
0104003005,170310104003005,0
0104003006,170310104003006,812
0104003007,170310104003007,0
0104003008,170310104003008,165
0104003009,170310104003009,218
0104003010,170310104003010,128
0104003011,170310104003011,304
0104003012,170310104003012,20
0104003013,170310104003013,28
0104003014,170310104003014,544
0104003015,170310104003015,0
0105011000,170310105011000,161
0105011001,170310105011001,249
0105011002,170310105011002,172
0105011003,170310105011003,289
0105012000,170310105012000,178
0105012001,170310105012001,145
0105012002,170310105012002,182
0105012003,170310105012003,91
0105012004,170310105012004,200
0105012005,170310105012005,608
0105012006,170310105012006,206
0105012007,170310105012007,218
0105012008,170310105012008,69
0105013000,170310105013000,260
0105013001,170310105013001,119
0105013002,170310105013002,82
0105013003,170310105013003,214
0105013004,170310105013004,130
0105013005,170310105013005,76
0105013006,170310105013006,72
0105013007,170310105013007,164
0105013008,170310105013008,55
0105013009,170310105013009,74
0105013010,170310105013010,77
0105021000,170310105021000,241
0105021001,170310105021001,84
0105021002,170310105021002,62
0105021003,170310105021003,53
0105021004,170310105021004,140
0105021005,170310105021005,135
0105021006,170310105021006,233
0105021007,170310105021007,83
0105021008,170310105021008,81
0105021009,170310105021009,74
0105021010,170310105021010,0
0105021011,170310105021011,0
0105021012,170310105021012,148
0105022000,170310105022000,392
0105022001,170310105022001,227
0105022002,170310105022002,149
0105022003,170310105022003,138
0105022004,170310105022004,96
0105022005,170310105022005,204
0105022006,170310105022006,70
0105022007,170310105022007,149
0105022008,170310105022008,110
0105022009,170310105022009,146
0105022010,170310105022010,86
0105031000,170310105031000,155
0105031001,170310105031001,15
0105031002,170310105031002,73
0105031003,170310105031003,41
0105031004,170310105031004,57
0105031005,170310105031005,101
0105031006,170310105031006,490
0105031007,170310105031007,47
0105031008,170310105031008,66
0105031009,170310105031009,71
0105031010,170310105031010,83
0105031011,170310105031011,84
0105031012,170310105031012,0
0105031013,170310105031013,84
0105031014,170310105031014,47
0105031015,170310105031015,52
0105031016,170310105031016,16
0105032000,170310105032000,0
0105032001,170310105032001,0
0105032002,170310105032002,0
0105032003,170310105032003,74
0105032004,170310105032004,73
0105032005,170310105032005,60
0105032006,170310105032006,169
0105032007,170310105032007,227
0105032008,170310105032008,0
0105032009,170310105032009,105
0105032010,170310105032010,0
0105032011,170310105032011,71
0105032012,170310105032012,29
0106001000,170310106001000,0
0106001001,170310106001001,0
0106001002,170310106001002,0
0106001003,170310106001003,215
0106001004,170310106001004,166
0106001005,170310106001005,94
0106001006,170310106001006,135
0106001007,170310106001007,73
0106001008,170310106001008,104
0106001009,170310106001009,273
0106001010,170310106001010,160
0106001011,170310106001011,82
0106001012,170310106001012,45
0106001013,170310106001013,26
0106001014,170310106001014,78
0106001015,170310106001015,52
0106001016,170310106001016,72
0106001017,170310106001017,45
0106001018,170310106001018,20
0106001019,170310106001019,113
0106001020,170310106001020,91
0106001021,170310106001021,47
0106001022,170310106001022,0
0106002000,170310106002000,0
0106002001,170310106002001,187
0106002002,170310106002002,59
0106002003,170310106002003,64
0106002004,170310106002004,70
0106002005,170310106002005,292
0106002006,170310106002006,180
0106002007,170310106002007,0
0106002008,170310106002008,0
0106003000,170310106003000,163
0106003001,170310106003001,183
0106003002,170310106003002,136
0106003003,170310106003003,157
0106003004,170310106003004,119
0106003005,170310106003005,102
0106003006,170310106003006,149
0106003007,170310106003007,256
0106003008,170310106003008,145
0106003009,170310106003009,213
0106003010,170310106003010,111
0106003011,170310106003011,164
0106003012,170310106003012,0
0106004000,170310106004000,0
0106004001,170310106004001,0
0106004002,170310106004002,118
0106004003,170310106004003,9
0106004004,170310106004004,44
0106004005,170310106004005,0
0106004006,170310106004006,0
0106004007,170310106004007,231
0106004008,170310106004008,101
0106004009,170310106004009,130
0106004010,170310106004010,199
0106004011,170310106004011,145
0106004012,170310106004012,46
0106004013,170310106004013,90
0106004014,170310106004014,343
0107011000,170310107011000,0
0107011001,170310107011001,47
0107011002,170310107011002,196
0107011003,170310107011003,43
0107011004,170310107011004,188
0107011005,170310107011005,41
0107011006,170310107011006,0
0107011007,170310107011007,0
0107011008,170310107011008,63
0107011009,170310107011009,237
0107011010,170310107011010,115
0107011011,170310107011011,94
0107011012,170310107011012,59
0107011013,170310107011013,45
0107011014,170310107011014,112
0107011015,170310107011015,44
0107011016,170310107011016,243
0107011017,170310107011017,109
0107012000,170310107012000,257
0107012001,170310107012001,148
0107012002,170310107012002,120
0107012003,170310107012003,230
0107012004,170310107012004,124
0107012005,170310107012005,125
0107012006,170310107012006,123
0107012007,170310107012007,148
0107012008,170310107012008,36
0107012009,170310107012009,64
0107012010,170310107012010,237
0107012011,170310107012011,46
0107012012,170310107012012,54
0107012013,170310107012013,88
0107012014,170310107012014,22
0107012015,170310107012015,194
0107012016,170310107012016,41
0107012017,170310107012017,68
0107012018,170310107012018,103
0107021000,170310107021000,176
0107021001,170310107021001,132
0107021002,170310107021002,10
0107021003,170310107021003,84
0107021004,170310107021004,70
0107021005,170310107021005,223
0107021006,170310107021006,295
0107021007,170310107021007,81
0107021008,170310107021008,22
0107021009,170310107021009,11
0107021010,170310107021010,13
0107021011,170310107021011,207
0107021012,170310107021012,248
0107022000,170310107022000,257
0107022001,170310107022001,123
0107022002,170310107022002,2
0107022003,170310107022003,78
0107022004,170310107022004,89
0107022005,170310107022005,0
0107022006,170310107022006,6
0107022007,170310107022007,41
0107022008,170310107022008,282
0107022009,170310107022009,204
0107023000,170310107023000,83
0107023001,170310107023001,337
0107023002,170310107023002,66
0107023003,170310107023003,107
0107023004,170310107023004,103
0107023005,170310107023005,7
0107023006,170310107023006,265
0107023007,170310107023007,158
0107023008,170310107023008,416
0107023009,170310107023009,69
0107024000,170310107024000,235
0107024001,170310107024001,120
0107024002,170310107024002,105
0107024003,170310107024003,63
0107024004,170310107024004,201
0107024005,170310107024005,154
0201001000,170310201001000,146
0201001001,170310201001001,117
0201001002,170310201001002,168
0201001003,170310201001003,136
0201001004,170310201001004,103
0201001005,170310201001005,69
0201001006,170310201001006,13
0201001007,170310201001007,24
0201001008,170310201001008,112
0201001009,170310201001009,69
0201001010,170310201001010,55
0201001011,170310201001011,86
0201001012,170310201001012,140
0201001013,170310201001013,54
0201001014,170310201001014,97
0201001015,170310201001015,86
0201001016,170310201001016,94
0201001017,170310201001017,80
0201001018,170310201001018,185
0201001019,170310201001019,39
0201001020,170310201001020,87
0201001021,170310201001021,49
0201001022,170310201001022,87
0201001023,170310201001023,126
0201001024,170310201001024,12
0201001025,170310201001025,179
0201002000,170310201002000,0
0201002001,170310201002001,1115
0201002002,170310201002002,0
0201002003,170310201002003,12
0201002004,170310201002004,11
0201002005,170310201002005,0
0201002006,170310201002006,143
0201002007,170310201002007,137
0201002008,170310201002008,134
0202001000,170310202001000,0
0202001001,170310202001001,52
0202001002,170310202001002,51
0202001003,170310202001003,50
0202001004,170310202001004,57
0202001005,170310202001005,46
0202001006,170310202001006,46
0202001007,170310202001007,40
0202001008,170310202001008,43
0202001009,170310202001009,64
0202001010,170310202001010,270
0202001011,170310202001011,45
0202001012,170310202001012,527
0202001013,170310202001013,31
0202001014,170310202001014,17
0202001015,170310202001015,30
0202001016,170310202001016,15
0202001017,170310202001017,54
0202001018,170310202001018,73
0202001019,170310202001019,46
0202001020,170310202001020,43
0202001021,170310202001021,78
0202002000,170310202002000,51
0202002001,170310202002001,108
0202002002,170310202002002,85
0202002003,170310202002003,16
0202002004,170310202002004,16
0202002005,170310202002005,28
0202002006,170310202002006,18
0202002007,170310202002007,525
0202002008,170310202002008,46
0202002009,170310202002009,104
0202002010,170310202002010,90
0202002011,170310202002011,47
0202002012,170310202002012,33
0202002013,170310202002013,160
0202002014,170310202002014,66
0202003000,170310202003000,55
0202003001,170310202003001,61
0202003002,170310202003002,66
0202003003,170310202003003,53
0202003004,170310202003004,52
0202003005,170310202003005,66
0202003006,170310202003006,50
0202003007,170310202003007,74
0202003008,170310202003008,54
0202003009,170310202003009,53
0202003010,170310202003010,25
0202003011,170310202003011,26
0202003012,170310202003012,33
0202003013,170310202003013,55
0202003014,170310202003014,40
0202003015,170310202003015,41
0202003016,170310202003016,64
0202003017,170310202003017,30
0202003018,170310202003018,35
0202003019,170310202003019,43
0202003020,170310202003020,45
0202003021,170310202003021,31
0202003022,170310202003022,23
0202003023,170310202003023,52
0202003024,170310202003024,76
0202003025,170310202003025,27
0202003026,170310202003026,29
0202003027,170310202003027,17
0202003028,170310202003028,31
0202003029,170310202003029,25
0202003030,170310202003030,43
0202003031,170310202003031,61
0202003032,170310202003032,45
0202003033,170310202003033,8
0202003034,170310202003034,15
0202003035,170310202003035,34
0202003036,170310202003036,45
0202003037,170310202003037,47
0202003038,170310202003038,29
0202003039,170310202003039,19
0202004000,170310202004000,109
0202004001,170310202004001,246
0202004002,170310202004002,72
0202004003,170310202004003,80
0202004004,170310202004004,22
0202004005,170310202004005,13
0202004006,170310202004006,52
0202004007,170310202004007,0
0202004008,170310202004008,41
0202004009,170310202004009,34
0202004010,170310202004010,47
0202004011,170310202004011,31
0202004012,170310202004012,32
0202004013,170310202004013,30
0202004014,170310202004014,21
0202004015,170310202004015,39
0202004016,170310202004016,32
0202004017,170310202004017,145
0202004018,170310202004018,23
0202004019,170310202004019,23
0202004020,170310202004020,17
0202004021,170310202004021,82
0202004022,170310202004022,90
0202004023,170310202004023,0
0202004024,170310202004024,16
0202004025,170310202004025,16
0202004026,170310202004026,17
0202004027,170310202004027,25
0202004028,170310202004028,27
0202004029,170310202004029,24
0202004030,170310202004030,28
0202004031,170310202004031,23
0202004032,170310202004032,18
0202004033,170310202004033,52
0202004034,170310202004034,18
0202004035,170310202004035,20
0202004036,170310202004036,28
0202004037,170310202004037,28
0202004038,170310202004038,28
0202004039,170310202004039,31
0202004040,170310202004040,30
0202004041,170310202004041,42
0202004042,170310202004042,38
0202004043,170310202004043,22
0202004044,170310202004044,53
0202004045,170310202004045,36
0202004046,170310202004046,26
0203011000,170310203011000,0
0203011001,170310203011001,125
0203011002,170310203011002,319
0203011003,170310203011003,360
0203011004,170310203011004,0
0203011005,170310203011005,0
0203011006,170310203011006,405
0203011007,170310203011007,0
0203011008,170310203011008,349
0203012000,170310203012000,259
0203012001,170310203012001,356
0203012002,170310203012002,121
0203012003,170310203012003,91
0203012004,170310203012004,34
0203012005,170310203012005,51
0203012006,170310203012006,55
0203012007,170310203012007,56
0203012008,170310203012008,71
0203012009,170310203012009,65
0203012010,170310203012010,90
0203012011,170310203012011,101
0203013000,170310203013000,6
0203013001,170310203013001,0
0203013002,170310203013002,2
0203013003,170310203013003,70
0203013004,170310203013004,55
0203013005,170310203013005,63
0203013006,170310203013006,75
0203013007,170310203013007,49
0203013008,170310203013008,58
0203013009,170310203013009,49
0203013010,170310203013010,62
0203013011,170310203013011,62
0203013012,170310203013012,55
0203013013,170310203013013,53
0203013014,170310203013014,56
0203013015,170310203013015,55
0203013016,170310203013016,109
0203013017,170310203013017,124
0203013018,170310203013018,46
0203013019,170310203013019,81
0203013020,170310203013020,62
0203013021,170310203013021,63
0203013022,170310203013022,51
0203013023,170310203013023,40
0203013024,170310203013024,58
0203013025,170310203013025,245
0203013026,170310203013026,127
0203013027,170310203013027,66
0203021000,170310203021000,104
0203021001,170310203021001,20
0203021002,170310203021002,73
0203021003,170310203021003,169
0203021004,170310203021004,171
0203021005,170310203021005,39
0203021006,170310203021006,77
0203021007,170310203021007,93
0203021008,170310203021008,116
0203021009,170310203021009,96
0203021010,170310203021010,88
0203021011,170310203021011,156
0203021012,170310203021012,132
0203022000,170310203022000,91
0203022001,170310203022001,95
0203022002,170310203022002,92
0203022003,170310203022003,78
0203022004,170310203022004,111
0203022005,170310203022005,58
0203022006,170310203022006,64
0203022007,170310203022007,51
0203022008,170310203022008,38
0203022009,170310203022009,52
0203022010,170310203022010,36
0203022011,170310203022011,49
0203022012,170310203022012,41
0203022013,170310203022013,42
0203022014,170310203022014,98
0203023000,170310203023000,370
0203023001,170310203023001,0
0203023002,170310203023002,60
0203023003,170310203023003,73
0203023004,170310203023004,348
0203023005,170310203023005,131
0203023006,170310203023006,146
0203023007,170310203023007,0
0203023008,170310203023008,21
0203023009,170310203023009,68
0203023010,170310203023010,12
0203023011,170310203023011,62
0203023012,170310203023012,132
0203023013,170310203023013,0
0203023014,170310203023014,46
0203023015,170310203023015,37
0203023016,170310203023016,26
0203023017,170310203023017,94
0203023018,170310203023018,45
0203023019,170310203023019,41
0203023020,170310203023020,39
0203023021,170310203023021,30
0203023022,170310203023022,11
0203023023,170310203023023,0
0203023024,170310203023024,33
0203023025,170310203023025,39
0203023026,170310203023026,31
0203023027,170310203023027,49
0203023028,170310203023028,43
0203023029,170310203023029,43
0203023030,170310203023030,33
0203023031,170310203023031,55
0203023032,170310203023032,37
0203023033,170310203023033,81
0203023034,170310203023034,65
0203023035,170310203023035,19
0203023036,170310203023036,0
0204001000,170310204001000,13
0204001001,170310204001001,85
0204001002,170310204001002,150
0204001003,170310204001003,132
0204001004,170310204001004,67
0204001005,170310204001005,31
0204001006,170310204001006,61
0204001007,170310204001007,40
0204001008,170310204001008,43
0204001009,170310204001009,34
0204001010,170310204001010,42
0204001011,170310204001011,40
0204001012,170310204001012,37
0204001013,170310204001013,6
0204002000,170310204002000,103
0204002001,170310204002001,10
0204002002,170310204002002,28
0204002003,170310204002003,28
0204002004,170310204002004,66
0204002005,170310204002005,55
0204002006,170310204002006,37
0204002007,170310204002007,29
0204002008,170310204002008,45
0204002009,170310204002009,33
0204002010,170310204002010,105
0204002011,170310204002011,54
0204002012,170310204002012,74
0204002013,170310204002013,51
0204002014,170310204002014,89
0204002015,170310204002015,39
0204002016,170310204002016,41
0204002017,170310204002017,16
0204002018,170310204002018,196
0204002019,170310204002019,81
0204002020,170310204002020,44
0204002021,170310204002021,154
0204002022,170310204002022,102
0204003000,170310204003000,127
0204003001,170310204003001,330
0204003002,170310204003002,43
0204003003,170310204003003,154
0204003004,170310204003004,65
0204003005,170310204003005,9
0204003006,170310204003006,61
0204003007,170310204003007,170
0204003008,170310204003008,93
0204003009,170310204003009,119
0204003010,170310204003010,158
0204003011,170310204003011,212
0204003012,170310204003012,89
0204003013,170310204003013,134
0204003014,170310204003014,85
0204003015,170310204003015,28
0204003016,170310204003016,30
0205001000,170310205001000,762
0205001001,170310205001001,275
0205001002,170310205001002,92
0205001003,170310205001003,138
0205001004,170310205001004,120
0205001005,170310205001005,120
0205001006,170310205001006,46
0205001007,170310205001007,155
0205001008,170310205001008,0
0205001009,170310205001009,109
0205001010,170310205001010,102
0205001011,170310205001011,48
0205001012,170310205001012,195
0205001013,170310205001013,85
0205001014,170310205001014,51
0205001015,170310205001015,67
0205001016,170310205001016,147
0205002000,170310205002000,71
0205002001,170310205002001,57
0205002002,170310205002002,70
0205002003,170310205002003,159
0205002004,170310205002004,0
0205002005,170310205002005,30
0205002006,170310205002006,38
0205002007,170310205002007,104
0205002008,170310205002008,133
0205002009,170310205002009,96
0205002010,170310205002010,39
0205002011,170310205002011,112
0205003000,170310205003000,0
0205003001,170310205003001,328
0205003002,170310205003002,237
0205003003,170310205003003,92
0205003004,170310205003004,228
0205003005,170310205003005,203
0205003006,170310205003006,397
0205003007,170310205003007,154
0205003008,170310205003008,103
0205004000,170310205004000,164
0205004001,170310205004001,102
0205004002,170310205004002,117
0205004003,170310205004003,79
0205004004,170310205004004,54
0205004005,170310205004005,103
0205004006,170310205004006,70
0205004007,170310205004007,114
0205004008,170310205004008,123
0205004009,170310205004009,47
0205004010,170310205004010,78
0206011000,170310206011000,0
0206011001,170310206011001,32
0206011002,170310206011002,28
0206011003,170310206011003,17
0206011004,170310206011004,34
0206011005,170310206011005,27
0206011006,170310206011006,18
0206011007,170310206011007,114
0206011008,170310206011008,164
0206011009,170310206011009,213
0206011010,170310206011010,29
0206011011,170310206011011,79
0206011012,170310206011012,62
0206011013,170310206011013,90
0206011014,170310206011014,51
0206011015,170310206011015,37
0206011016,170310206011016,36
0206011017,170310206011017,27
0206011018,170310206011018,46
0206011019,170310206011019,48
0206011020,170310206011020,60
0206011021,170310206011021,70
0206011022,170310206011022,72
0206011023,170310206011023,69
0206011024,170310206011024,42
0206011025,170310206011025,63
0206011026,170310206011026,70
0206011027,170310206011027,50
0206011028,170310206011028,91
0206011029,170310206011029,87
0206012000,170310206012000,186
0206012001,170310206012001,208
0206012002,170310206012002,174
0206012003,170310206012003,229
0206012004,170310206012004,165
0206012005,170310206012005,166
0206012006,170310206012006,126
0206012007,170310206012007,75
0206012008,170310206012008,69
0206012009,170310206012009,95
0206012010,170310206012010,147
0206012011,170310206012011,155
0206012012,170310206012012,166
0206012013,170310206012013,139
0206012014,170310206012014,157
0206012015,170310206012015,132
0206012016,170310206012016,44
0206012017,170310206012017,8
0206012018,170310206012018,85
0206012019,170310206012019,39
0206012020,170310206012020,36
0206012021,170310206012021,122
0206012022,170310206012022,143
0206012023,170310206012023,56
0206012024,170310206012024,29
0206012025,170310206012025,57
0206013000,170310206013000,218
0206013001,170310206013001,146
0206013002,170310206013002,124
0206013003,170310206013003,143
0206013004,170310206013004,67
0206013005,170310206013005,206
0206013006,170310206013006,48
0206013007,170310206013007,0
0206013008,170310206013008,127
0206013009,170310206013009,109
0206013010,170310206013010,59
0206013011,170310206013011,207
0206013012,170310206013012,11
0206013013,170310206013013,54
0206013014,170310206013014,0
0206021000,170310206021000,0
0206021001,170310206021001,173
0206021002,170310206021002,115
0206021003,170310206021003,92
0206021004,170310206021004,109
0206021005,170310206021005,123
0206021006,170310206021006,118
0206021007,170310206021007,123
0206021008,170310206021008,113
0206021009,170310206021009,109
0206021010,170310206021010,99
0206021011,170310206021011,0
0206022000,170310206022000,0
0206022001,170310206022001,133
0206022002,170310206022002,53
0206022003,170310206022003,114
0206022004,170310206022004,73
0206022005,170310206022005,48
0206022006,170310206022006,139
0206022007,170310206022007,72
0206022008,170310206022008,112
0206022009,170310206022009,101
0206022010,170310206022010,162
0206022011,170310206022011,3
0206022012,170310206022012,86
0206022013,170310206022013,0
0206022014,170310206022014,25
0206023000,170310206023000,47
0206023001,170310206023001,53
0206023002,170310206023002,77
0206023003,170310206023003,45
0206023004,170310206023004,46
0206023005,170310206023005,126
0206023006,170310206023006,162
0206023007,170310206023007,108
0206023008,170310206023008,52
0206023009,170310206023009,118
0206023010,170310206023010,68
0206023011,170310206023011,103
0206023012,170310206023012,11
0206023013,170310206023013,47
0206023014,170310206023014,33
0206024000,170310206024000,41
0206024001,170310206024001,51
0206024002,170310206024002,37
0206024003,170310206024003,22
0206024004,170310206024004,41
0206024005,170310206024005,96
0206024006,170310206024006,132
0206024007,170310206024007,111
0206024008,170310206024008,113
0206024009,170310206024009,56
0206024010,170310206024010,80
0206024011,170310206024011,43
0206024012,170310206024012,78
0206024013,170310206024013,48
0207011000,170310207011000,0
0207011001,170310207011001,2
0207011002,170310207011002,12
0207011003,170310207011003,0
0207011004,170310207011004,142
0207011005,170310207011005,68
0207011006,170310207011006,11
0207011007,170310207011007,14
0207011008,170310207011008,51
0207011009,170310207011009,6
0207011010,170310207011010,56
0207011011,170310207011011,0
0207011012,170310207011012,43
0207011013,170310207011013,21
0207011014,170310207011014,26
0207011015,170310207011015,64
0207011016,170310207011016,39
0207011017,170310207011017,20
0207011018,170310207011018,0
0207011019,170310207011019,0
0207011020,170310207011020,0
0207011021,170310207011021,0
0207011022,170310207011022,38
0207011023,170310207011023,4
0207011024,170310207011024,32
0207011025,170310207011025,14
0207011026,170310207011026,41
0207011027,170310207011027,30
0207011028,170310207011028,20
0207011029,170310207011029,8
0207011030,170310207011030,17
0207011031,170310207011031,19
0207011032,170310207011032,24
0207011033,170310207011033,0
0207012000,170310207012000,5
0207012001,170310207012001,39
0207012002,170310207012002,104
0207012003,170310207012003,79
0207012004,170310207012004,46
0207012005,170310207012005,41
0207012006,170310207012006,73
0207012007,170310207012007,69
0207012008,170310207012008,52
0207012009,170310207012009,0
0207012010,170310207012010,69
0207012011,170310207012011,21
0207012012,170310207012012,23
0207012013,170310207012013,10
0207012014,170310207012014,94
0207012015,170310207012015,50
0207012016,170310207012016,30
0207012017,170310207012017,21
0207012018,170310207012018,12
0207012019,170310207012019,44
0207021002,170310207021002,23
0207021003,170310207021003,109
0207021004,170310207021004,0
0207021005,170310207021005,185
0207021006,170310207021006,78
0207021007,170310207021007,35
0207021008,170310207021008,0
0207021009,170310207021009,42
0207021010,170310207021010,20
0207021011,170310207021011,171
0207021012,170310207021012,126
0207021013,170310207021013,161
0207021014,170310207021014,58
0207021015,170310207021015,132
0207021016,170310207021016,131
0207021017,170310207021017,128
0207021018,170310207021018,43
0207021019,170310207021019,46
0207021020,170310207021020,67
0207021021,170310207021021,71
0207021022,170310207021022,57
0207021023,170310207021023,135
0207021024,170310207021024,0
0207022000,170310207022000,0
0207022001,170310207022001,0
0207022002,170310207022002,46
0207022003,170310207022003,12
