fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,138,IT MAINTENANCE,7461060
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,140,PROFESSIONAL AND TECHNICAL SERVICES,389385
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINTENANCE AND LICENSING,6672658
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,815791
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,1328
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,31672
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMMUNICATION SERVICES,2470802
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,186,PAGERS,6700
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE - NON-CENTREX BILLINGS,433726
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,788318
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE - MAINTENANCE,14282
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TO TRAVELERS,3029
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,865
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,16768
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MATERIAL,2596
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPLIES,8221
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6350737
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL - SALARIED EMPLOYEES,8824000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,140000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMMUNICATION SERVICES,1350
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE - NON-CENTREX BILLINGS,66000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE - MAINTENANCE,2800
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TO TRAVELERS,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,43000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,4850000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,92072
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,1765784
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,16000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,12500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,20000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,2000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,2500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,190,TELEPHONE - NON-CENTREX BILLINGS,19000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,197,TELEPHONE - MAINTENANCE,1400
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,8000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,3500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,348,BOOKS AND RELATED MATERIAL,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPLIES,45000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,100
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE - COMMITTEE ON FINANCE,50000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,92500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,258924
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,700,CONTINGENCIES,25000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,120,CON. SVS. FOR THE LIG,171000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,137,CON. SVS. UNDER DIRECTOR OF LIG,183000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,468750
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,15000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,12000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,9500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,15000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,0,PERSONNEL SERVICES,102843
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,100,CONTRACTUAL SERVICES,200
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,700,CONTINGENCIES,750
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,0,PERSONNEL SERVICES,102081
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,7500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,300,COMMODITIES AND MATERIALS,10500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,0,PERSONNEL SERVICES,119289
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,700,CONTINGENCIES,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,0,PERSONNEL SERVICES,87670
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,100,CONTRACTUAL SERVICES,200
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,300,COMMODITIES AND MATERIALS,800
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,700,CONTINGENCIES,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,0,PERSONNEL SERVICES,100008
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,100,CONTRACTUAL SERVICES,40000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,0,PERSONNEL SERVICES,107635
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,100,CONTRACTUAL SERVICES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,700,CONTINGENCIES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,0,PERSONNEL SERVICES,200609
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,100,CONTRACTUAL SERVICES,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,700,CONTINGENCIES,2000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,0,PERSONNEL SERVICES,305134
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,100,CONTRACTUAL SERVICES,5300
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,300,COMMODITIES AND MATERIALS,74700
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,0,PERSONNEL SERVICES,192406
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,100,CONTRACTUAL SERVICES,1550
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,300,COMMODITIES AND MATERIALS,400
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,700,CONTINGENCIES,2150
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,0,PERSONNEL SERVICES,88098
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,300,COMMODITIES AND MATERIALS,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,0,PERSONNEL SERVICES,479312
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,100,CONTRACTUAL SERVICES,30000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,300,COMMODITIES AND MATERIALS,5000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2295,LEGISLATIVE REFERENCE BUREAU,0,PERSONNEL SERVICES,282081
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2295,LEGISLATIVE REFERENCE BUREAU,100,CONTRACTUAL SERVICES,67000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2295,LEGISLATIVE REFERENCE BUREAU,300,COMMODITIES AND MATERIALS,4000
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,5,SALARIES AND WAGES - ON PAYROLL,2428468
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,11,CONTRACT WAGE - SALARY,5761
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,15,SCHEDULE SALARY ADJUSTMENTS,6895
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,20,OVERTIME,60000
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,130,POSTAGE,43740
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,140,PROFESSIONAL AND TECHNICAL SERVICES,251883
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,150,PUBLICATN & REPRODT-OUT,16238
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,152,ADVERTISING,30600
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,159,LEASE PURCHASE AGREEMNT,170028
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,162,REPAIR/MAINT EQUIPMENT,21455
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,190,TELEPHONE - NON-CENTREX BILLINGS,33400
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,197,TELEPHONE - MAINTENANCE,18300
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,340,MATERIAL AND SUPPLIES,15690
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,350,STATIONERY AND OFFICE SUPPLIES,40587
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,2859723
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,11,CONTRACT WAGE - SALARY,6419
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,15,SCHEDULE SALARY ADJUSTMENTS,10022
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,20,OVERTIME,4700
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROFESSIONAL AND TECHNICAL SERVICES,38668
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,166,DUES  SUBSC & MEM,4615
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,985
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,181,MOBILE COMMUNICATION SERVICES,7885
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,245,REIMBURSEMENT TO TRAVELERS,1200
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,270,LOCAL TRANSPORTATION,2651
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,348,BOOKS AND RELATED MATERIAL,200
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPLIES,19800
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,3431894
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,11,CONTRACT WAGE - SALARY,10966
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJUSTMENTS,11944
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,20,OVERTIME,10000
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,140,PROFESSIONAL AND TECHNICAL SERVICES,124600
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,603863
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,150,PUBLICATN & REPRODT-OUT,14561
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,1800
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,7924
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TO TRAVELERS,3000
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,348,BOOKS AND RELATED MATERIAL,600
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPLIES,16000
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,5513333
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,11,CONTRACT WAGE - SALARY,11906
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,15,SCHEDULE SALARY ADJUSTMENTS,22802
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,39,STUDENT AS TRAINEES,40000
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,130,POSTAGE,108771
