fund_type,department_code,department_description,fund_code,fund_description,organization_code,organization_description,division_code,division_description,section_code,section_description,sub_section_code,schedule_grade,bargaining_unit,title_code,title_description,budgeted_unit,total_budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,sub_section_description
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,Correspondence,0,1 00,0,9637,Administrative Assistant,Annual,1,1,51504,51504,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,120000,120000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9876,Scheduler,Annual,1,1,70404,70404,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9876,Scheduler,Annual,1,1,57792,57792,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9870,Advance,Annual,1,1,52536,52536,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,1 00,9,9870,Advance,Annual,1,1,51504,51504,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9899,Chief of Staff,Annual,1,1,195000,195000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,107112,107112,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,180000,180000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,89304,89304,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,83796,83796,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,65976,65976,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,61800,61800,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,58752,58752,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,58728,58728,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,57792,57792,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,1 00,0,9637,Administrative Assistant,Annual,1,1,53568,53568,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,122016,122016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9854,Communications Director,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9642,Deputy Press Secretary,Annual,1,1,120348,120348,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,94560,94560,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,90000,90000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9616,Assistant Press Secretary,Annual,1,1,80016,80016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,9615,Press Secretary,Annual,1,1,120000,120000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0925,Photographer,Annual,1,1,82008,82008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,1,1,75000,75000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,2,1,65016,130032,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,1,1,61800,61800,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,1 00,9,0740,Press Aide,Annual,1,1,51504,51504,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,1 00,9,9896,Chief Financial Officer,Annual,1,1,169992,169992,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,1 00,9,9639,Assistant to Mayor,Annual,1,1,132000,132000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,154992,154992,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,75000,75000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,0,3858,Director / Community Liaison,Annual,1,1,89304,89304,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,Office of Community Engagement,0,1 00,0,3858,Director / Community Liaison,Annual,1,1,70008,70008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9877,Director - Mayor's Office,Annual,1,1,125244,125244,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,125016,125016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9872,Deputy Mayor,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,126072,126072,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,100008,100008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,1 00,9,9872,Deputy Mayor,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,Office of Education and Human Services,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,85008,85008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,128760,128760,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,122544,122544,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9855,Assistant Director - Mayor's Office,Annual,3,1,128760,386280,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9807,Legislative Assistant,Annual,1,1,80088,80088,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9807,Legislative Assistant,Annual,3,1,75648,226944,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9807,Legislative Assistant,Annual,1,1,70008,70008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9807,Legislative Assistant,Annual,1,1,65004,65004,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,175092,175092,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,Office of Risk Management,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,Office of Risk Management,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,75000,75000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,80016,80016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,1 00,9,9671,Chief Diversity Officer,Annual,1,1,108960,108960,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,128760,128760,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,110016,110016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,1 00,9,9872,Deputy Mayor,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,115008,115008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,86016,86016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,4,1,85008,340032,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,84000,84000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,75000,75000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9872,Deputy Mayor,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,Office of Public Safety,0,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,135000,135000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,165000,165000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,122016,122016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,120000,120000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,150000,150000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,90000,90000,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,85008,85008,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,80016,80016,
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,Office of Policy,0,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,67008,67008,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,1 00,9,9903,Inspector General,Annual,1,1,169992,169992,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 14,10,1727,Information Analyst - IG,Annual,2,1,58968,117936,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,75408,75408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,70272,70272,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 16,10,1721,Senior Information Analyst - IG,Annual,2,1,64704,129408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 10,20,1719,Senior Forensic Data Analyst,Annual,1,1,93924,93924,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,3 00,0,1717,Chief Data and Information Analyst,Annual,1,1,110052,110052,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,100668,100668,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,61776,61776,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,79020,79020,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,75408,75408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,3 00,0,0705,Director of Public Affairs,Annual,1,1,104712,104712,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,10,0645,Technical Support Administrator - IG,Annual,1,1,48960,48960,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,GY 09,10,0641,Forensic Data Analyst,Annual,3,1,82368,247104,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,10,0634,Data Services Administrator,Annual,1,1,96096,96096,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,48960,48960,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,46776,46776,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,44604,44604,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,BX 17,20,0126,Financial Officer,Annual,1,1,91752,91752,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,17476,17476,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,1 00,9,9665,First Deputy Inspector General,Annual,1,1,141144,141144,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,10,1645,Associate Staff Attorney,Annual,1,1,61800,61800,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,0,1262,Assistant Inspector General,Annual,4,1,105156,420624,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,3 00,0,1202,Associate General Counsel - IG,Annual,2,1,123996,247992,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,Legal,0,B 13,1,0308,Staff Assistant,Annual,1,1,87636,87636,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,1 00,9,9659,Deputy Inspector General,Annual,1,1,133032,133032,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,3 00,0,5633,Project Director,Annual,1,1,104712,104712,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,3 00,0,1260,Chief Investigator - IG,Annual,1,1,104712,104712,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,46776,93552,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 09,0,1222,Investigator III - IG,Annual,3,1,103716,311148,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 09,0,1222,Investigator III - IG,Annual,1,1,82368,82368,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1221,Investigator II - IG,Annual,1,1,75408,75408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 08,0,1221,Investigator II - IG,Annual,1,1,72120,72120,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 06,0,1219,Investigator I - IG,Annual,1,1,64320,64320,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,GY 06,0,1219,Investigator I - IG,Annual,1,1,58260,58260,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10754,10754,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,82368,82368,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,78828,78828,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,75408,75408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,GY 07,20,1125,Performance Analyst,Annual,2,1,70140,140280,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,7141,7141,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,1 00,9,9659,Deputy Inspector General,Annual,1,1,139740,139740,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1289,Investigative Analyst,Annual,2,1,78828,157656,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1289,Investigative Analyst,Annual,1,1,75408,75408,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1289,Investigative Analyst,Annual,2,1,70140,140280,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,1260,Chief Investigator - IG,Annual,1,1,104712,104712,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,3 00,0,1127,Chief Performance Analyst,Annual,2,1,104712,209424,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 08,20,1126,Senior Performance Analyst,Annual,2,1,75408,150816,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 07,20,1125,Performance Analyst,Annual,1,1,70140,70140,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,GY 07,20,1125,Performance Analyst,Annual,5,1,64320,321600,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,13124,13124,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,Diversity  Equity  Inclusion  and Compliance,0,GY 08,20,1368,Compliance Officer,Annual,1,1,89928,89928,
Local,3,OIG,0100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,Diversity  Equity  Inclusion  and Compliance,0,GY 08,20,1368,Compliance Officer,Annual,1,1,78828,78828,
