fund_type,department_code,department_description,fund_code,fund_description,organization_code,organization_description,division_code,division_description,section_code,section_description,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,title_description,budgeted_unit,total_budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3224,Design,4226,Highways Design,G 08,4,5614,Civil Engineer IV,Annual,3,1,114780,344340
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3020,Election Support,0,,3 00,69,9350,Assistant Manager - Board of Elections,Annual,1,1,86832,86832
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3230,Bridges,0,,G 08,4,5614,Civil Engineer IV,Annual,1,1,104052,104052
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,3 00,20,1440,Coordinating Planner II,Annual,1,1,112248,112248
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4040,Police Dispatch,I 13,2,8601,Police Communications Operator I,Annual,13,1,55260,718380
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2035,Bureau of Technical Services,3318,General Support Division,0,,D 01,91,9161,Police Officer,Annual,4,1,90024,360096
Local,35,DPS,100,Corporate Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3012,Contract Management,4026,Shared Administrative Services,BX 15,10,1912,Project Coordinator,Annual,1,1,67800,67800
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 03,71,9171,Sergeant,Annual,23,1,107988,2483724
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3005,Administration,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,69564,69564
Local,50,DFSS,100,Corporate Fund,1005,FAMILY AND SUPPORT SERVICES,2005,Department of Family and Support Services,3005,Administration,0,,B 09,3,3006,Unit Assistant,Annual,1,1,57924,57924
Local,88,DWM,200,Water Fund,1035,METER SERVICES,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0,,2 0,36,6674,Machinist,Hourly,2,1,48.38,201261
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3230,Bridges,0,,B 13,1,6143,Engineering Technician IV,Annual,1,1,65940,65940
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,B 11,1,190,Accounting Technician II,Annual,1,1,76584,76584
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,1 00,9,9684,Deputy Director,Annual,1,1,124056,124056
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3286,Patrol Services,4348,Crisis Intervention,D 01,91,9161,Police Officer,Annual,1,1,93354,93354
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4727,Custodial/Labor Services,2 0,45,4225,Foreman of Custodial Workers,Hourly,1,1,26.06,54205
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,3 00,0,676,Web Developer/Administrator - CPL,Annual,1,1,96696,96696
Grant,41,HEALTH,0X61,Bioterrorism Preparedness Response Planning,1005,DEPARTMENT OF PUBLIC HEALTH,2829,Bioterrorism Preparedness Response Planning,3829,Bioterrorism Preparedness Response Planning,0,,G 09,4,3407,Epidemiologist III,Annual,3,1,125484,376452
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,B 06,5,902,Audio Equipment Technician,Annual,1,1,55344,55344
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3102,Office of the First Deputy,4110,Internal Affairs,BX 14,10,1255,Investigator,Annual,1,1,83628,83628
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3112,Fire Prevention,4144,Administration,3 00,10,8879,Chief Fire Prevention Engineer,Annual,1,1,117984,117984
Local,59,CFD,740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,6,1,90024,540144
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,50,4301,Carpenter,Hourly,26,1,47.35,2560688
Grant,41,HEALTH,0U74,Women Infants and Children Nutrition,1005,DEPARTMENT OF PUBLIC HEALTH,2808,Women  Infants and Children Nutrition,3910,Infant Mortality Reduction,0,,3 00,20,3437,Director of Nutrition,Annual,1,1,96696,96696
Local,88,DWM,314,Sewer Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4012,Sewer System Installation and Maintenance,2 0,8,7184,Pool Motor Truck Driver,Hourly,47840,0,29.16,1395014
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,61800,61800
Local,88,DWM,200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,BX 16,10,7125,Assistant Chief Dispatcher,Annual,1,1,72024,72024
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2005,Department of Public Health,3028,Contract and Compliance,0,,3 00,20,1191,Contracts Administrator,Annual,1,1,89304,89304
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4707,HVAC Plant,2 0,32,5035,Electrical Mechanic,Hourly,9,1,48.35,905112
Local,3,OIG,200,Water Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,70140,70140
Local,84,CDOT,100,Corporate Fund,1105,OFFICE OF THE COMMISSIONER,2105,Commissioner's Office,3207,Performance Management,0,,B 13,1,3898,Community Services Representative,Annual,1,1,96564,96564
Local,78,ETHICS,100,Corporate Fund,1005,BOARD OF ETHICS,2005,Board of Ethics,3005,Administration,0,,1 00,9,9978,Executive Director - Board of Ethics,Annual,1,1,139740,139740
Grant,91,CPL,0Z57,Illinois Library Development - Per Capita and Area,1005,CHICAGO PUBLIC LIBRARY,2895,Illinois Library Development - Per Capita and Area,3910,Reference and Circulation Services,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,17904,17904
Local,88,DWM,200,Water Fund,1035,METER SERVICES,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0,,2 0,16,2231,Plumbing Inspector,Monthly,7,1,9052.5,760410
Grant,41,HEALTH,0U08,Air Pollution Control Program,1005,DEPARTMENT OF PUBLIC HEALTH,2714,Air Pollution Control Program,3714,Air Pollution Control Program,0,,G 08,4,2073,Environmental Engineer III,Annual,1,1,114780,114780
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,64320,64320
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3429,Office of Community Policing,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,105420,105420
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,3 00,9,311,Projects Administrator,Annual,1,1,107244,107244
Local,60,COPA,100,Corporate Fund,1005,COPA,2005,Civilian Office of Police Accountability,3015,Legal,0,,3 00,0,1646,Attorney,Annual,6,1,76164,456984
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,2,1,58968,117936
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3283,Bureau of Patrol,0,,1 00,99,9796,Deputy Chief,Annual,2,1,170112,340224
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3451,Education and Training Division,0,,D 01,91,9161,Police Officer,Annual,52,1,93354,4854408
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1289,Investigative Analyst,Annual,2,1,70140,140280
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2018,Bureau of Organized Crime,3296,Bureau of Organized Crime,0,,D 01,91,9161,Police Officer,Annual,4,1,93354,373416
Local,15,CITY COUNCIL,100,Corporate Fund,1005,CITY COUNCIL,2005,City Council,3005,City Council,0,,1 00,9,9645,Assistant to the Alderman,Annual,50,1,0,0
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3275,Area Criminal Investigation,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,220210,220210
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3289,Community Relations,4347,Special Activities Section,B 09,1,832,Personal Computer Operator II,Annual,1,1,36504,36504
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3203,Agency Management,0,,B 10,1,831,Personal Computer Operator III,Annual,1,1,73104,73104
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4238,Underground Construction,B 10,1,431,Clerk IV,Annual,1,1,57924,57924
Local,84,CDOT,100,Corporate Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4262,Bridges,2 0,16,4754,Plumber,Hourly,4,1,50.25,418080
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 01,91,9161,Police Officer,Annual,4,1,87006,348024
Local,58,OEMC,740,Chicago O'Hare Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9104,Traffic Control Aide - Hourly,Hourly,84000,0,19.86,1668240
Local,6,DOIT,100,Corporate Fund,1005,DOIT,2005,Department of Innovation and Technology,3385,Software Development,0,,G 10,4,659,Principal Data Base Analyst,Annual,1,1,124248,124248
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,Technical Services,0,,B 09,1,665,Senior Data Entry Operator,Annual,1,1,66612,66612
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4421,Air Services Development,B 13,1,308,Staff Assistant,Annual,1,1,76584,76584
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 06,5,902,Audio Equipment Technician,Annual,1,1,43848,43848
Grant,50,DFSS,0Y33,Early Head Start Initiative,1005,FAMILY AND SUPPORT SERVICES,2857,Early Head Start Initiative,3857,Early Head Start Initiative,0,,BX 16,10,3953,Supervisor of Children Services Programs,Annual,1,1,79812,79812
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2018,Bureau of Organized Crime,3303,Gang Investigation,4326,Gang Investigation Division,D 02,91,9126,Police Technician,Annual,1,1,91338,91338
Local,84,CDOT,100,Corporate Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4262,Bridges,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,27093,27093
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3282,Youth Investigations Division,4284,Juvenile Intervention and Support Center,E 03,71,9171,Sergeant,Annual,3,1,107988,323964
Local,57,CPD,610,Chicago Midway Airport Fund,1005,Chicago Police Department,2012,Patrol Services,3292,Special Functions Division,4332,Airport Law Enforcement South - Midway Airport,D 01,91,9161,Police Officer,Annual,1,1,87006,87006
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2005,Department of Public Health,3010,Fiscal Administration,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,993,993
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3355,Project Oversight,0,,B 09,1,665,Senior Data Entry Operator,Annual,1,1,60744,60744
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,4,5642,Sanitary Engineer II,Annual,2,1,66204,132408
Grant,41,HEALTH,0U64,Ryan White HIV Care Act Part A - Emergency Relief,1005,DEPARTMENT OF PUBLIC HEALTH,2731,Ryan White HIV Care Act Part A - Emergency Relief,3731,Ryan White HIV Care Act a - Emergency Relief,0,,BX 17,10,3092,Program Director,Annual,1,1,105420,105420
Local,38,FFM,200,Water Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3222,Fleet Operations - Water,0,,2 0,8,7160,Fleet Services Assistant,Hourly,4,1,24.79,206253
Grant,50,DFSS,0Y34,Head Start,1005,FAMILY AND SUPPORT SERVICES,2860,Head Start,3905,Head Start,0,,G 06,4,684,Data Base Analyst,Annual,1,1,62904,62904
Grant,41,HEALTH,0U78,High Risk Infant Follow-Up - State,1005,DEPARTMENT OF PUBLIC HEALTH,280Z,High Risk Infant Follow-Up,380Z,High Risk Infant Follow-Up,0,,SZ 06,56,3753,Public Health Nurse III,Annual,1,1,70392,70392
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4909,Landside Operations,I 10,2,7482,Parking Enforcement Aide,Annual,1,1,36396,36396
Local,73,ANIMAL CARE / CONTROL,100,Corporate Fund,1005,ANIMAL CARE AND CONTROL,2005,Chicago Animal Care and Control,3015,Anti-Cruelty,0,,I 12,2,3491,Animal Control Inspector,Annual,1,1,58644,58644
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2103,Bureau of Finance and Administration,3110,Finance and Administration,4139,Finance and Accounting,G 06,4,103,Accountant III,Annual,1,1,96360,96360
Grant,1,MAYOR,0Z01,Smart Grid / Energy Efficiency Consumer Education,1005,OFFICE OF THE MAYOR,2804,Smart Grid / Energy Efficiency Consumer Education,3804,Smart Grid / Energy Efficiency Consumer Education,0,,3 00,0,310,Project Manager,Annual,1,1,66960,66960
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2035,Bureau of Technical Services,3316,Services / Records / Response,4273,Alternate Response Section,E 03,71,9171,Sergeant,Annual,1,1,101442,101442
Local,81,DSS,300,Vehicle Tax Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3051,Street Sweeping Divisions and Wards,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,10,1,36.45,758160
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2131,Bureau of Asset Management,3107,Energy Services,0,,B 13,1,308,Staff Assistant,Annual,1,1,88044,88044
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,2 0,8,7113,Supervising Booter - Parking,Hourly,6,1,34.99,436675
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3352,HIV/STI Prevention and Control,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,105756,105756
Local,30,ADMINISTRATIVE HEARINGS,100,Corporate Fund,1005,ADMINISTRATIVE HEARINGS,2005,Department of Administrative Hearings,3015,Operational Services,4025,Customer Services,1 00,9,9819,Manager of Administrative Adjudication,Annual,1,1,100620,100620
Local,59,CFD,740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 3A,87,8820,Firefighter - Per Arbitrators Award - EMT,Annual,2,1,103350,206700
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3041,Economic Development,4027,Real Estate Services,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,100668,100668
Local,88,DWM,200,Water Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3116,Inspections Services,4001,Water Inspection Services,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,37045,37045
Local,81,DSS,100,Corporate Fund,1045,BUREAU OF FORESTRY,2060,Bureau of Forestry,3136,Forestry Operations,4063,Tree Trimming,2 0,8,718D,Pool Motor Truck Driver,Hourly,8320,0,29.16,242611
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3426,Office of Communications,0,,BX 13,10,918,Photographic Specialist,Annual,1,1,48960,48960
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3039,Investigations and Prosecutions,4041,Prosecutions,L 05,9,1641,Assistant Corporation Counsel Supervisor,Annual,1,1,93960,93960
Local,88,DWM,200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,9,313,Assistant Commissioner,Annual,1,1,111144,111144
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3100,Departmental Administration,4150,Legal Affairs,1 00,0,3858,Director / Community Liaison,Annual,1,1,90141,90141
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3435,Detached Services Unit,0,,D 01,91,9161,Police Officer,Annual,3,1,90024,270072
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 5P,87,8818,Captain - Paramedic,Annual,6,1,140040,840240
Local,21,HOUSING,100,Corporate Fund,1005,DEPT OF HOUSING,2010,Department of Housing,3040,Homeownership Programs,0,,GY 09,20,1437,Financial Planning Analyst - Excluded,Annual,1,1,78828,78828
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,1 00,9,9954,Commissioner of Planning and Development,Annual,1,1,180276,180276
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4510,Legal/Government Affairs,1 00,9,9813,Managing Deputy Commissioner,Annual,1,1,148488,148488
Local,31,LAW,0B21,Tax Increment Financing Administration Fund,1005,LAW,2005,Department of Law,3044,Finance and Economic Development,0,,L 02,9,1672,Assistant Corporation Counsel II,Annual,1,1,98424,98424
Local,35,DPS,100,Corporate Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3022,Certification and Compliance,0,,G 06,1,1504,Certification / Compliance Officer,Annual,1,1,79044,79044
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3278,Forensic Services Division,0,,B 10,1,4238,Property Custodian,Annual,1,1,73104,73104
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 6B,87,8787,Assistant Commanding Fire Marshal - EMT,Annual,1,1,141270,141270
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,3 00,9,313,Assistant Commissioner,Annual,1,1,105756,105756
Local,73,ANIMAL CARE / CONTROL,100,Corporate Fund,1005,ANIMAL CARE AND CONTROL,2005,Chicago Animal Care and Control,3015,Anti-Cruelty,0,,1 00,0,11,Contract Wage Increment - Salary,Annual,0,0,11044,11044
Local,73,ANIMAL CARE / CONTROL,100,Corporate Fund,1005,ANIMAL CARE AND CONTROL,2005,Chicago Animal Care and Control,3003,Administration,0,,B 13,1,308,Staff Assistant,Annual,1,1,80232,80232
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3031,Legal Counsel,0,,L 04,9,1674,Assistant Corporation Counsel Senior,Annual,2,1,98424,196848
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3203,Agency Management,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,69828,69828
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3439,Deployment Operations Section,0,,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,100980,100980
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3203,Agency Management,0,,B 13,1,308,Staff Assistant,Annual,2,1,52848,105696
Grant,41,HEALTH,0U72,Tobacco Free Communities,1005,DEPARTMENT OF PUBLIC HEALTH,2868,Tobacco Free Communities,3806,Tobacco Free Communities,0,,B 13,3,2381,Sanitarian II,Annual,1,1,84024,84024
Local,35,DPS,100,Corporate Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3006,Departmental Administration,4010,Finance Operations / IT,3 00,9,1554,Assistant Procurement Officer,Annual,1,1,113376,113376
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,2 0,8,7183,Motor Truck Driver,Hourly,4,1,37,307840
Local,23,DCASE,355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,Events Programming,4235,Event Permits,B 06,1,443,Clerk II - Hourly,Hourly,1040,0,17.54,18242
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,,GY 09,10,641,Forensic Data Analyst,Annual,2,1,75408,150816
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3223,Quality Assurance Engineering,0,,B 13,1,6143,Engineering Technician IV,Annual,1,1,52848,52848
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3454,Inspections Division,0,,G 07,4,193,Auditor III,Annual,1,1,69444,69444
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4025,Medallion Licensing,B 10,1,302,Administrative Assistant II,Annual,1,1,63600,63600
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3436,Office of Strategy,0,,3 00,10,1140,Chief Operations Analyst,Annual,2,1,92928,185856
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4430,Lease and Real Estate Portfolio Management,BX 15,10,134,Financial Analyst,Annual,1,1,58968,58968
