route,routename,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal
33,Mag Mile Express,2001-01-01T00:00:00.000,770.2,0,0,16944
34,South Michigan,2001-01-01T00:00:00.000,7911.6,5744.2,3580.5,214933
35,35th,2001-01-01T00:00:00.000,5977.7,3342.5,1810.1,153931
36,Broadway,2001-01-01T00:00:00.000,15360,13898.6,8687.4,436950
37,Sedgwick,2001-01-01T00:00:00.000,2500.6,0,0,55014
39,Pershing,2001-01-01T00:00:00.000,2249.6,0,0,49492
43,43rd,2001-01-01T00:00:00.000,1351,679.3,354.8,34213
44,Wallace-Racine,2001-01-01T00:00:00.000,6559.2,2696,1564.6,162910
47,47th,2001-01-01T00:00:00.000,8069.8,6422.7,3490.7,220680
48,South Damen,2001-01-01T00:00:00.000,1120.6,0,0,24654
49,Western,2001-01-01T00:00:00.000,23732.1,20598.9,12432.2,666662
49A,South Western,2001-01-01T00:00:00.000,333.3,0,0,7332
49B,North Western,2001-01-01T00:00:00.000,5087.6,3065,1954.1,133958
X49,Western Express,2001-01-01T00:00:00.000,5131.8,0,0,112899
50,Damen,2001-01-01T00:00:00.000,8322.7,4419.7,2470.1,213128
51,51st,2001-01-01T00:00:00.000,4654.8,3675,2169.4,127952
52,Kedzie/California,2001-01-01T00:00:00.000,11592.4,8223.9,5112.6,313490
52A,South Kedzie,2001-01-01T00:00:00.000,5919.1,3596.1,1925.5,154232
53,Pulaski,2001-01-01T00:00:00.000,21726,15984.4,9466.2,589242
53A,South Pulaski,2001-01-01T00:00:00.000,9037.4,3198,1417.1,218700
54,Cicero,2001-01-01T00:00:00.000,12138.9,9536.3,5940.5,334903
54A,North Cicero/Skokie Blvd.,2001-01-01T00:00:00.000,1281.3,0,0,28188
54B,South Cicero,2001-01-01T00:00:00.000,4775.5,4468.6,2377.5,134823
55,Garfield,2001-01-01T00:00:00.000,12778.5,9126.4,6495.9,350112
55N,55th/Narragansett,2001-01-01T00:00:00.000,1071.8,164.4,0,24237
56,Milwaukee,2001-01-01T00:00:00.000,14274.6,9160.4,6174.4,381555
56A,North Milwaukee,2001-01-01T00:00:00.000,568.5,0,0,11938
57,Laramie,2001-01-01T00:00:00.000,3042.6,1412.8,616.1,75668
59,59th/61st,2001-01-01T00:00:00.000,4260.5,2222.6,0,102622
60,Blue Island/26th,2001-01-01T00:00:00.000,13431.4,9929.4,6310.6,366761
62,Archer,2001-01-01T00:00:00.000,14926,6856.3,4667.4,379135
62H,Archer/Harlem,2001-01-01T00:00:00.000,1392.2,640,0,33189
63,63rd,2001-01-01T00:00:00.000,21814.1,17120.8,11466.5,605727
63W,West 63rd,2001-01-01T00:00:00.000,2196.4,720.5,378.2,53094
64,Foster-Canfield,2001-01-01T00:00:00.000,337.2,0,0,7419
65,Grand,2001-01-01T00:00:00.000,6695.3,3173.9,1805.7,169020
66,Chicago,2001-01-01T00:00:00.000,21001.5,13332.8,8478.8,557759
67,67th-69th-71st,2001-01-01T00:00:00.000,14219.5,9844.6,7025.6,387336
68,Northwest Highway,2001-01-01T00:00:00.000,1579.5,608.1,286.5,38614
69,Cumberland/East River,2001-01-01T00:00:00.000,417.2,0,0,8761
70,Division,2001-01-01T00:00:00.000,11102.5,7625.8,5264,301077
71,71st/South Shore,2001-01-01T00:00:00.000,7136.7,5565.3,3119,194863
72,North,2001-01-01T00:00:00.000,15417.4,11359.3,6853.7,418889
73,Armitage,2001-01-01T00:00:00.000,4994.3,2688.6,1372.4,127491
74,Fullerton,2001-01-01T00:00:00.000,12842.3,9858.6,5968,351804
75,74th-75th,2001-01-01T00:00:00.000,7081.7,4725.3,2795.5,188676
76,Diversey,2001-01-01T00:00:00.000,13254.3,8168.3,4827.2,348404
77,Belmont,2001-01-01T00:00:00.000,19856.3,12733.9,8400,529774
78,Montrose,2001-01-01T00:00:00.000,8891.8,5826.3,3274.2,235297
79,79th,2001-01-01T00:00:00.000,30018.4,23808.6,15573.7,833507
80,Irving Park,2001-01-01T00:00:00.000,11837.8,8077.1,5275.2,319117
81,Lawrence,2001-01-01T00:00:00.000,14489.3,11561.8,7558,402803
81W,West Lawrence,2001-01-01T00:00:00.000,1577.3,837.2,337.6,39738
82,Kimball-Homan,2001-01-01T00:00:00.000,19622.7,11451.6,6745.8,511235
84,Peterson,2001-01-01T00:00:00.000,4357.5,2418.1,1145.6,111265
85,Central,2001-01-01T00:00:00.000,13188.5,8148.9,4850.7,346996
85A,North Central,2001-01-01T00:00:00.000,952.5,148.7,0,21550
86,Narragansett/Ridgeland,2001-01-01T00:00:00.000,1831.2,0,0,40287
87,87th,2001-01-01T00:00:00.000,15732.2,10389.7,5571.5,415524
88,Higgins,2001-01-01T00:00:00.000,1721.8,650.3,523.9,43101
90,Harlem,2001-01-01T00:00:00.000,3880.4,3002.1,1382.3,104289
90N,North Harlem,2001-01-01T00:00:00.000,318.9,98.7,0,7412
91,Austin,2001-01-01T00:00:00.000,8583.5,4415,2384.8,218421
92,Foster,2001-01-01T00:00:00.000,7414.5,4123.2,2316.9,191196
93,California/Dodge,2001-01-01T00:00:00.000,2228,1057.5,0,53246
94,South California,2001-01-01T00:00:00.000,10603.7,4792.6,3467,269786
95E,93rd-95th,2001-01-01T00:00:00.000,5787.1,4530.5,3014.3,160511
95W,West 95th,2001-01-01T00:00:00.000,5162.6,4526.5,2556.7,144468
96,Lunt,2001-01-01T00:00:00.000,1343.2,0,0,29550
97,Skokie,2001-01-01T00:00:00.000,3681.4,2066.7,1167.5,95096
100,Jeffery Manor Express,2001-01-01T00:00:00.000,1167,0,0,25673
103,West 103rd,2001-01-01T00:00:00.000,3704.9,1564.8,1071,93121
106,East 103rd,2001-01-01T00:00:00.000,2317.8,570.3,398.4,55265
108,Halsted/95th,2001-01-01T00:00:00.000,2928.1,0,0,64417
111,Pullman/111th/115th,2001-01-01T00:00:00.000,6074.4,3474.9,2062.4,157849
112,Vincennes/111th,2001-01-01T00:00:00.000,3874,1439.3,935.1,95661
119,Michigan/119th,2001-01-01T00:00:00.000,5171.2,4747.3,2890.1,147205
120,Ogilvie/Wacker Express,2001-01-01T00:00:00.000,635.5,0,0,13982
121,Union/Wacker Express,2001-01-01T00:00:00.000,1210.6,0,0,26633
122,Illinois Center/Ogilvie Express,2001-01-01T00:00:00.000,1122.9,0,0,24705
123,Illinois Center/Union Express,2001-01-01T00:00:00.000,886.2,0,0,19495
125,Water Tower Express,2001-01-01T00:00:00.000,2690.8,0,0,59197
126,Jackson,2001-01-01T00:00:00.000,10129.2,4785.9,2650.5,255239
127,Madison/Roosevelt Circulator,2001-01-01T00:00:00.000,245.9,0,0,5410
129,West Loop/South Loop,2001-01-01T00:00:00.000,792.7,0,0,17439
135,Clarendon/LaSalle Express,2001-01-01T00:00:00.000,2621.3,0,0,57669
136,Sheridan/LaSalle Express,2001-01-01T00:00:00.000,2055.4,0,0,45218
145,Wilson/Michigan Express,2001-01-01T00:00:00.000,8074.3,4110.5,1831.2,203232
146,Inner Drive/Michigan Express,2001-01-01T00:00:00.000,9355.1,5362.4,3117.4,242849
147,Outer Drive Express,2001-01-01T00:00:00.000,8812.6,5443.1,0,215649
151,Sheridan,2001-01-01T00:00:00.000,23604.8,14136.3,11694.7,634324
152,Addison,2001-01-01T00:00:00.000,10738.1,4457.2,2287.1,265503
155,Devon,2001-01-01T00:00:00.000,7283.4,5229.9,3555.3,198930
156,LaSalle,2001-01-01T00:00:00.000,9039.1,0,0,198859
157,Streeterville/Taylor,2001-01-01T00:00:00.000,3315.2,0,0,72933
169,69th-UPS Express,2001-01-01T00:00:00.000,885.9,53.7,0,19704
170,U. of Chicago/Midway,2001-01-01T00:00:00.000,287.1,0,0,6315
171,U. of Chicago/Hyde Park,2001-01-01T00:00:00.000,864.9,413.2,178.3,21573
172,U. of Chicago/Kenwood,2001-01-01T00:00:00.000,890.2,74.4,46.6,20116
173,U. of Chicago/Lakeview Express,2001-01-01T00:00:00.000,253,562.1,254.6,9088
201,Central/Ridge,2001-01-01T00:00:00.000,1275.3,615.9,268.9,31865
202,Main/Emerson,2001-01-01T00:00:00.000,480.1,0,0,10563
203,Ridge/Grant,2001-01-01T00:00:00.000,1593.3,0,0,35053
204,Dodge,2001-01-01T00:00:00.000,1445.4,0,0,31798
1,Indiana/Hyde Park,2001-02-01T00:00:00.000,7401.4,0,0,148028
2,Hyde Park Express,2001-02-01T00:00:00.000,976.8,0,0,19535
3,King Drive,2001-02-01T00:00:00.000,23226,14743,10136.2,564037
4,Cottage Grove,2001-02-01T00:00:00.000,23907.9,17637,11797.6,595896
6,Jackson Park Express,2001-02-01T00:00:00.000,19337.2,12335.8,7917.8,467758
7,Harrison,2001-02-01T00:00:00.000,5684.4,0,0,113688
8,Halsted,2001-02-01T00:00:00.000,20741.7,12528.9,9279.6,502067
8A,South Halsted,2001-02-01T00:00:00.000,3296.3,2786.2,1535.4,83212
9,Ashland,2001-02-01T00:00:00.000,31183.8,23385.3,16717.4,784087
10,Museum of S & I,2001-02-01T00:00:00.000,0,633.7,470.3,4416
11,Lincoln/Sedgwick,2001-02-01T00:00:00.000,3606.1,1661.2,969.2,82644
12,Roosevelt,2001-02-01T00:00:00.000,11000.4,6809.7,5125.9,267751
14,Jeffery Express,2001-02-01T00:00:00.000,9048.2,0,0,180965
17,Westchester,2001-02-01T00:00:00.000,531.9,0,0,10638
18,16th/18th,2001-02-01T00:00:00.000,2075.4,896.8,618.7,47570
19,United Center Express,2001-02-01T00:00:00.000,295.5,331.3,286.1,6903
20,Madison,2001-02-01T00:00:00.000,23086.4,13594.9,8935.2,551849
21,Cermak,2001-02-01T00:00:00.000,7910,7563.8,5991.4,212421
X21,Cermak Express,2001-02-01T00:00:00.000,0,1559.9,1100,10639
22,Clark,2001-02-01T00:00:00.000,21849.7,14712.5,11108.6,540279
24,Wentworth,2001-02-01T00:00:00.000,4403.2,0,0,88063
25,West Cermak,2001-02-01T00:00:00.000,222.9,0,0,4458
27,South Deering,2001-02-01T00:00:00.000,5805.5,3309.5,2486.8,139294
28,Stony Island,2001-02-01T00:00:00.000,12843.1,10029.1,5978.7,320893
29,State,2001-02-01T00:00:00.000,17481.6,12203.1,8857.2,433873
30,South Chicago,2001-02-01T00:00:00.000,4110.7,1961.2,861.2,93503
33,Mag Mile Express,2001-02-01T00:00:00.000,673.6,0,0,13473
34,South Michigan,2001-02-01T00:00:00.000,8251.8,5887.7,3809.4,203824
35,35th,2001-02-01T00:00:00.000,6043.6,3262.6,1942.6,141693
36,Broadway,2001-02-01T00:00:00.000,15751.5,13133.7,9224.7,404463
37,Sedgwick,2001-02-01T00:00:00.000,2593.3,0,0,51866
39,Pershing,2001-02-01T00:00:00.000,2242.9,0,0,44859
43,43rd,2001-02-01T00:00:00.000,1390.6,658.6,358.1,31879
44,Wallace-Racine,2001-02-01T00:00:00.000,6877.6,2743.4,1560.6,154768
47,47th,2001-02-01T00:00:00.000,8636,6242.4,3854.1,213107
48,South Damen,2001-02-01T00:00:00.000,1293.9,0,0,25878
49,Western,2001-02-01T00:00:00.000,24342.7,19506.1,12396.5,614464
49A,South Western,2001-02-01T00:00:00.000,444.1,0,0,8882
49B,North Western,2001-02-01T00:00:00.000,5039,3296.3,2091.9,122332
X49,Western Express,2001-02-01T00:00:00.000,5654.3,0,0,113085
50,Damen,2001-02-01T00:00:00.000,8839.3,4098.7,2818.2,204453
51,51st,2001-02-01T00:00:00.000,5124.6,3593.9,2348.6,126263
52,Kedzie/California,2001-02-01T00:00:00.000,12412.4,8292.8,5632.1,303947
52A,South Kedzie,2001-02-01T00:00:00.000,6113.8,3246.1,1877.1,142769
53,Pulaski,2001-02-01T00:00:00.000,22111.6,14411.7,9369.9,537359
53A,South Pulaski,2001-02-01T00:00:00.000,9793.7,2957.6,1508.8,213739
54,Cicero,2001-02-01T00:00:00.000,13016.8,9070.8,6677.5,323328
54A,North Cicero/Skokie Blvd.,2001-02-01T00:00:00.000,1373.7,0,0,27474
54B,South Cicero,2001-02-01T00:00:00.000,4818.1,4191.1,2589.8,123486
55,Garfield,2001-02-01T00:00:00.000,13244.6,8902.1,7052.3,328710
55N,55th/Narragansett,2001-02-01T00:00:00.000,1162,162.8,0,23891
56,Milwaukee,2001-02-01T00:00:00.000,14732.9,8891,6289.6,355380
56A,North Milwaukee,2001-02-01T00:00:00.000,540.7,0,0,10814
57,Laramie,2001-02-01T00:00:00.000,3077,1423.8,650.2,69836
59,59th/61st,2001-02-01T00:00:00.000,4593,2230.1,0,100781
60,Blue Island/26th,2001-02-01T00:00:00.000,14023.4,9395.7,6819.6,345328
62,Archer,2001-02-01T00:00:00.000,15473,6770.3,4642.1,355110
62H,Archer/Harlem,2001-02-01T00:00:00.000,1447.2,552.9,0,31155
63,63rd,2001-02-01T00:00:00.000,22932.3,18001.7,12559.4,580890
63W,West 63rd,2001-02-01T00:00:00.000,2234.9,644.8,424.3,48975
64,Foster-Canfield,2001-02-01T00:00:00.000,299.3,0,0,5986
65,Grand,2001-02-01T00:00:00.000,6868.3,2964.6,1706.3,156050
66,Chicago,2001-02-01T00:00:00.000,21441,12708.4,8070.9,511938
67,67th-69th-71st,2001-02-01T00:00:00.000,14717,9908.3,7177.1,362682
68,Northwest Highway,2001-02-01T00:00:00.000,1758.8,649.5,257.5,38803
69,Cumberland/East River,2001-02-01T00:00:00.000,466.2,0,0,8858
70,Division,2001-02-01T00:00:00.000,10967.6,7142.3,5658.5,270554
71,71st/South Shore,2001-02-01T00:00:00.000,7650.9,5818.3,3525.7,190393
72,North,2001-02-01T00:00:00.000,15783.4,10803.7,7612.3,389332
73,Armitage,2001-02-01T00:00:00.000,5320.6,2199.4,1419.2,120886
74,Fullerton,2001-02-01T00:00:00.000,13381,10172.3,7385.9,337853
75,74th-75th,2001-02-01T00:00:00.000,7381.3,4746.8,3080.6,178935
76,Diversey,2001-02-01T00:00:00.000,13775.4,6886.9,5484.3,324993
77,Belmont,2001-02-01T00:00:00.000,20885.2,12153.8,8920.7,502001
78,Montrose,2001-02-01T00:00:00.000,9341.3,5803.6,3336.4,223386
79,79th,2001-02-01T00:00:00.000,32205.8,23639.8,16737.1,805623
80,Irving Park,2001-02-01T00:00:00.000,11989,7662.9,5326.3,291736
81,Lawrence,2001-02-01T00:00:00.000,15145.2,11140.3,7563.9,377721
81W,West Lawrence,2001-02-01T00:00:00.000,1505.2,851.7,444,35286
82,Kimball-Homan,2001-02-01T00:00:00.000,21175.6,12105.2,7245.6,500916
84,Peterson,2001-02-01T00:00:00.000,4369.3,1983.8,1213.7,100176
85,Central,2001-02-01T00:00:00.000,13316.8,8252.3,5260.9,320389
85A,North Central,2001-02-01T00:00:00.000,879.8,51.8,0,17802
86,Narragansett/Ridgeland,2001-02-01T00:00:00.000,2187,0,0,43741
87,87th,2001-02-01T00:00:00.000,16279.6,10064.7,6168.6,390526
88,Higgins,2001-02-01T00:00:00.000,1705.2,765.6,939.9,40925
90,Harlem,2001-02-01T00:00:00.000,3967,2612.5,1503.4,95804
90N,North Harlem,2001-02-01T00:00:00.000,360.1,117.7,0,7673
91,Austin,2001-02-01T00:00:00.000,8550.5,4194.4,2306.3,197013
92,Foster,2001-02-01T00:00:00.000,7803.5,4099.3,2744,183443
93,California/Dodge,2001-02-01T00:00:00.000,2249.3,974.8,0,48884
94,South California,2001-02-01T00:00:00.000,10951.8,4518.5,3431.3,250835
95E,93rd-95th,2001-02-01T00:00:00.000,5773.6,4785.1,3102.1,147020
95W,West 95th,2001-02-01T00:00:00.000,5348.8,4890.2,3093.9,138913
96,Lunt,2001-02-01T00:00:00.000,1332,0,0,26640
97,Skokie,2001-02-01T00:00:00.000,3788.5,1932.1,1232.6,88429
100,Jeffery Manor Express,2001-02-01T00:00:00.000,1177.7,0,0,23555
103,West 103rd,2001-02-01T00:00:00.000,3852,1457.5,1155.9,87493
106,East 103rd,2001-02-01T00:00:00.000,2663.3,611.2,487.6,57661
108,Halsted/95th,2001-02-01T00:00:00.000,3104.7,0,0,62094
111,Pullman/111th/115th,2001-02-01T00:00:00.000,6361.6,3700.4,2243.8,151009
112,Vincennes/111th,2001-02-01T00:00:00.000,4003.7,1374.8,965.9,89438
119,Michigan/119th,2001-02-01T00:00:00.000,5484.8,4686.4,3177.5,141151
120,Ogilvie/Wacker Express,2001-02-01T00:00:00.000,624.8,0,0,12496
121,Union/Wacker Express,2001-02-01T00:00:00.000,1345,0,0,26900
122,Illinois Center/Ogilvie Express,2001-02-01T00:00:00.000,1053.4,0,0,21067
123,Illinois Center/Union Express,2001-02-01T00:00:00.000,776.8,0,0,15536
125,Water Tower Express,2001-02-01T00:00:00.000,2385,0,0,47699
126,Jackson,2001-02-01T00:00:00.000,10761.9,4884.7,2817.7,246048
127,Madison/Roosevelt Circulator,2001-02-01T00:00:00.000,214.5,0,0,4290
128,Soldier Field Express,2001-02-01T00:00:00.000,0,148.1,0,148
129,West Loop/South Loop,2001-02-01T00:00:00.000,811.5,0,0,16231
135,Clarendon/LaSalle Express,2001-02-01T00:00:00.000,2703.5,0,0,54070
136,Sheridan/LaSalle Express,2001-02-01T00:00:00.000,1958.3,0,0,39165
145,Wilson/Michigan Express,2001-02-01T00:00:00.000,8682,3798.2,2024,196929
146,Inner Drive/Michigan Express,2001-02-01T00:00:00.000,9206.2,5636.2,3353.7,220082
147,Outer Drive Express,2001-02-01T00:00:00.000,9123,5347.7,0,203852
151,Sheridan,2001-02-01T00:00:00.000,24656.8,14270,12550,600416
152,Addison,2001-02-01T00:00:00.000,11210.9,4164.6,2243.2,249850
155,Devon,2001-02-01T00:00:00.000,7303,5146.8,3888,182199
156,LaSalle,2001-02-01T00:00:00.000,9112.3,0,0,182247
157,Streeterville/Taylor,2001-02-01T00:00:00.000,3279,0,0,65581
169,69th-UPS Express,2001-02-01T00:00:00.000,852.6,78,0,17365
170,U. of Chicago/Midway,2001-02-01T00:00:00.000,287.9,0,0,5758
171,U. of Chicago/Hyde Park,2001-02-01T00:00:00.000,918.1,271.3,320.2,20728
172,U. of Chicago/Kenwood,2001-02-01T00:00:00.000,933.5,75.1,56.8,19198
173,U. of Chicago/Lakeview Express,2001-02-01T00:00:00.000,252.5,493.9,169.4,7703
201,Central/Ridge,2001-02-01T00:00:00.000,1314.6,559.2,341.8,29896
202,Main/Emerson,2001-02-01T00:00:00.000,514.7,0,0,10294
203,Ridge/Grant,2001-02-01T00:00:00.000,1823.8,0,0,36476
204,Dodge,2001-02-01T00:00:00.000,1578.3,0,0,31565
1,Indiana/Hyde Park,2001-03-01T00:00:00.000,7571.8,0,0,166579
2,Hyde Park Express,2001-03-01T00:00:00.000,862,0,0,18964
3,King Drive,2001-03-01T00:00:00.000,23081.6,14786.6,8979.5,617646
4,Cottage Grove,2001-03-01T00:00:00.000,24463.9,19493.7,11761.6,682721
6,Jackson Park Express,2001-03-01T00:00:00.000,19086.8,12859.5,7180.5,512929
7,Harrison,2001-03-01T00:00:00.000,5729.1,0,0,126040
8,Halsted,2001-03-01T00:00:00.000,20442.8,13256.7,9257.3,553054
8A,South Halsted,2001-03-01T00:00:00.000,3286.8,2914.5,1586.4,93228
9,Ashland,2001-03-01T00:00:00.000,31563.9,23909.9,16119.4,878433
10,Museum of S & I,2001-03-01T00:00:00.000,0,974.8,534.1,7010
11,Lincoln/Sedgwick,2001-03-01T00:00:00.000,3725.6,1875.1,1088.1,95692
12,Roosevelt,2001-03-01T00:00:00.000,11387.9,7384.8,5398.4,309052
14,Jeffery Express,2001-03-01T00:00:00.000,9540.6,0,0,209894
17,Westchester,2001-03-01T00:00:00.000,578,0,0,12716
18,16th/18th,2001-03-01T00:00:00.000,1717.8,979.8,710.8,45533
19,United Center Express,2001-03-01T00:00:00.000,983.3,2112.2,644.9,22537
20,Madison,2001-03-01T00:00:00.000,22559.6,14278,8496.7,601687
21,Cermak,2001-03-01T00:00:00.000,7861.8,8240.3,5852.5,237571
X21,Cermak Express,2001-03-01T00:00:00.000,0,1174,511.2,7915
22,Clark,2001-03-01T00:00:00.000,22534.9,15977.9,11678,622370
24,Wentworth,2001-03-01T00:00:00.000,4669.2,0,0,102721
25,West Cermak,2001-03-01T00:00:00.000,274.5,0,0,6040
27,South Deering,2001-03-01T00:00:00.000,6091.2,3486.8,2549.1,161636
28,Stony Island,2001-03-01T00:00:00.000,13173.1,10381.4,6018,365786
29,State,2001-03-01T00:00:00.000,17732.8,13083.9,9137.5,492091
30,South Chicago,2001-03-01T00:00:00.000,4203.3,2201.1,707.4,106308
33,Mag Mile Express,2001-03-01T00:00:00.000,780.3,0,0,17166
34,South Michigan,2001-03-01T00:00:00.000,8338,6218.6,4215.2,231390
35,35th,2001-03-01T00:00:00.000,6190.3,3611.6,2076.3,162549
36,Broadway,2001-03-01T00:00:00.000,15571.8,14705.2,9019.4,452183
37,Sedgwick,2001-03-01T00:00:00.000,2618.1,0,0,57598
39,Pershing,2001-03-01T00:00:00.000,2255.8,0,0,49629
43,43rd,2001-03-01T00:00:00.000,1308.1,722,368.7,33863
44,Wallace-Racine,2001-03-01T00:00:00.000,6994.1,3150.3,1662.5,176272
47,47th,2001-03-01T00:00:00.000,8657.9,6689.2,3835.8,239264
48,South Damen,2001-03-01T00:00:00.000,1313.7,0,0,28902
49,Western,2001-03-01T00:00:00.000,24336.2,20586.9,12524.6,688429
49A,South Western,2001-03-01T00:00:00.000,437,0,0,9614
49B,North Western,2001-03-01T00:00:00.000,5150.2,3373.9,2091.2,138538
X49,Western Express,2001-03-01T00:00:00.000,6016.4,0,0,132360
50,Damen,2001-03-01T00:00:00.000,9353.5,4719.6,2918.6,241049
51,51st,2001-03-01T00:00:00.000,4966.5,4193.2,2092.8,138600
52,Kedzie/California,2001-03-01T00:00:00.000,12226.5,9252.4,5549.4,337442
52A,South Kedzie,2001-03-01T00:00:00.000,6445.2,3810.1,2187.6,169595
53,Pulaski,2001-03-01T00:00:00.000,22336.2,16071.4,10142.3,612322
53A,South Pulaski,2001-03-01T00:00:00.000,9781.8,3558.8,1672.9,239686
54,Cicero,2001-03-01T00:00:00.000,12638.4,10284.9,6537.4,355619
54A,North Cicero/Skokie Blvd.,2001-03-01T00:00:00.000,1444.6,0,0,31781
54B,South Cicero,2001-03-01T00:00:00.000,5084.5,5160.6,2753.9,148677
55,Garfield,2001-03-01T00:00:00.000,13365,9828.9,7085,371515
55N,55th/Narragansett,2001-03-01T00:00:00.000,1138.3,165.4,0,25869
56,Milwaukee,2001-03-01T00:00:00.000,15492.3,10097.6,7307.1,420547
56A,North Milwaukee,2001-03-01T00:00:00.000,633.7,0,0,13941
57,Laramie,2001-03-01T00:00:00.000,3156.4,1646.9,684.9,80416
59,59th/61st,2001-03-01T00:00:00.000,4569,2336.7,0,112201
60,Blue Island/26th,2001-03-01T00:00:00.000,14751.9,10674.1,6835.8,405256
62,Archer,2001-03-01T00:00:00.000,15564.3,8070.4,4971.4,402652
62H,Archer/Harlem,2001-03-01T00:00:00.000,1454,708.1,0,35528
63,63rd,2001-03-01T00:00:00.000,22720.8,17745.8,11882.2,636114
63W,West 63rd,2001-03-01T00:00:00.000,2323.6,753.2,427.3,56594
64,Foster-Canfield,2001-03-01T00:00:00.000,268.7,0,0,5912
65,Grand,2001-03-01T00:00:00.000,7000.3,3692.4,1957.5,180298
66,Chicago,2001-03-01T00:00:00.000,21182.7,13293.3,8251.7,565492
67,67th-69th-71st,2001-03-01T00:00:00.000,14908.6,10345.6,6832.9,407048
68,Northwest Highway,2001-03-01T00:00:00.000,1681.2,726.9,274.5,41719
69,Cumberland/East River,2001-03-01T00:00:00.000,442.4,0,0,9733
70,Division,2001-03-01T00:00:00.000,11037.6,7872.4,5414,303846
71,71st/South Shore,2001-03-01T00:00:00.000,7310.8,5808.5,3438.3,203634
72,North,2001-03-01T00:00:00.000,16133.3,11415.2,7688.1,442762
73,Armitage,2001-03-01T00:00:00.000,5324.8,2501.6,1403.9,135270
74,Fullerton,2001-03-01T00:00:00.000,13118.1,11041.7,6419.1,369482
75,74th-75th,2001-03-01T00:00:00.000,7320.5,5306.7,3294.7,200764
76,Diversey,2001-03-01T00:00:00.000,14294,8627.8,5705.8,380431
77,Belmont,2001-03-01T00:00:00.000,20926.5,14095.9,9080.3,567184
78,Montrose,2001-03-01T00:00:00.000,9481,6177.6,3608.6,253905
79,79th,2001-03-01T00:00:00.000,31981.4,26330.6,17012.3,903294
80,Irving Park,2001-03-01T00:00:00.000,12315.9,8866.3,6234.8,340221
81,Lawrence,2001-03-01T00:00:00.000,15298.6,12536.9,8143.2,431828
81W,West Lawrence,2001-03-01T00:00:00.000,1507.6,1025.1,437.3,40042
82,Kimball-Homan,2001-03-01T00:00:00.000,21323.3,13335.5,7651.3,566396
84,Peterson,2001-03-01T00:00:00.000,4466.4,2343.3,1167.5,114648
85,Central,2001-03-01T00:00:00.000,13872.6,8535.9,5214.9,368735
85A,North Central,2001-03-01T00:00:00.000,853.5,86.5,0,19209
86,Narragansett/Ridgeland,2001-03-01T00:00:00.000,1971.1,0,0,43364
87,87th,2001-03-01T00:00:00.000,17093.7,10971.7,5650,453521
88,Higgins,2001-03-01T00:00:00.000,1796.8,748.5,443.7,45048
90,Harlem,2001-03-01T00:00:00.000,3958.2,3083.3,1618.7,108971
90N,North Harlem,2001-03-01T00:00:00.000,309.9,157.2,0,7604
91,Austin,2001-03-01T00:00:00.000,8666,4707,2729.2,225103
92,Foster,2001-03-01T00:00:00.000,7906.6,4398.3,2606.7,206363
93,California/Dodge,2001-03-01T00:00:00.000,2351.2,1194.8,0,57701
94,South California,2001-03-01T00:00:00.000,10912,5038.8,3106.5,277684
