fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,55463
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,1856
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,34656
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,80889
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,42500
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,396804
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,150,OUTSIDE GRAPHIC SERVICES,3500
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,47810
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,29884
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,65
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,9526
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,47212
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,20794
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,43674
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,1518
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,31036
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2506
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,4983
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1571
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,17498
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,10000
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,9438,REIMBURSEMENT - DAIS,2000
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1059600
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,11149
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,308
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,7220
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1268
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,24946
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,7530
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1016
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1632
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2306
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,14712
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,3974
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,7472
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,252
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,952
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,832
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,131
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,3269
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1215
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,652316
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,590
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,181
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,4904
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1269
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,9808
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,11818
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,6037
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,590
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,54
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,1504
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,8582
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,2783
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,4647
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,147
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,401
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,386
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,484
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,85
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,1421
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1725
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,194795
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1953
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,78
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,2036
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,847
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,6538
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,5489
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,4025
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,254
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,499
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,3678
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,1330
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,2157
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,63
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,175
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,257
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,207
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,16
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,609
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,962279
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,9987
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,3000
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,309
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,7220
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,2116
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,16346
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,21111
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,10560
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1016
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,65
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,2165
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,14712
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,4119
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,7934
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,252
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,748
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,642
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,830
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,107
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,2714
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,3028219
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,7036
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,39,STUDENT AS TRAINEES,37500
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,130,POSTAGE,5000
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,140,PROFESSIONAL AND TECHNICAL SERVICES,5500
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,152,ADVERTISING,1000
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,157,RENTAL EQUIPMENT AND SERVICES,10000
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,169,TECHNICAL MEETING COSTS,1000
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,181,MOBILE COMMUNICATION SERVICES,5100
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,190,TELEPHONE - CENTREX BILLINGS,4500
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,197,TELEPHONE - MAINTENANCE,1209
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,245,REIMBURSEMENT TO TRAVELERS,500
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,270,LOCAL TRANSPORTATION,500
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,348,BOOKS AND RELATED MATERIAL,400
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,350,STATIONERY AND OFFICE SUPPLIES,5400
LOCAL,0200,WATER FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,130356
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,99624
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6689220
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,WARD STAFF WAGE ALLOWANCE,9548615
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,225000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,126,OFFICE CONVENIENCES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,157,RENTAL EQUIPMENT AND SERVICES,27000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,165,GRAPHIC DESIGN SERV,1500
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,270,LOCAL TRANSPORTATION,1970
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE - CENTREX BILLINGS,38160
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE - MAINTENANCE,1760
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TO TRAVELERS,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,340,MATERIAL AND SUPPLIES,7000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,5000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,Aldermanic Expense Allowance for Ordinary and Necessary Expenses Incurred in Connection with the Performance of an Alderman's Official Duties. Warrant...,6100000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,Contingent and Other Expenses for Corporate Purposes Not Otherwise Provided For. to Be Expended Under the Direction of the President Pro Tempore ...,4000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,0,PERSONNEL SERVICES,737210
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,130,POSTAGE,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,61520
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,143,COURT REPORTING,60000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,166,DUES  SUBSC & MEM,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,169,TECHNICAL MEETING COSTS,1500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,190,TELEPHONE - CENTREX BILLINGS,4000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,197,TELEPHONE - MAINTENANCE,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,4000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,340,MATERIAL AND SUPPLIES,3500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,348,BOOKS AND RELATED MATERIAL,3000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,350,STATIONERY AND OFFICE SUPPLIES,35000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,700,CONTINGENCIES,2000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,9006,LEGAL ASSISTANCE - COMMITTEE ON FINANCE,50000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,FINANCE,9010,For Legal  Technical  Medical and Professional Services  Appraisals  Consultants  Printers  Court Reporters  and Other Incidental Contractual Services...,35500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,282216
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,700,CONTINGENCIES,27160
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,BUDGET AND GOVERNMENT OPS,0,PERSONNEL SERVICES,280000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,BUDGET AND GOVERNMENT OPS,100,CONTRACTUAL SERVICES,15000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,BUDGET AND GOVERNMENT OPS,300,COMMODITIES AND MATERIALS,12000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,BUDGET AND GOVERNMENT OPS,400,EQUIPMENT,9500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,BUDGET AND GOVERNMENT OPS,700,CONTINGENCIES,15000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,0,PERSONNEL SERVICES,190000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2216,CONTRACTING  OVERSIGHT  EQUITY,100,CONTRACTUAL SERVICES,1500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,AVIATION,0,PERSONNEL SERVICES,180000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,AVIATION,100,CONTRACTUAL SERVICES,200
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,AVIATION,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,AVIATION,700,CONTINGENCIES,750
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2223,CENSUS,0,PERSONNEL SERVICES,110000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2223,CENSUS,300,COMMODITIES AND MATERIALS,1500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,LICENSE & CONSUMER PROTECTION,0,PERSONNEL SERVICES,143500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,LICENSE & CONSUMER PROTECTION,100,CONTRACTUAL SERVICES,46500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2225,LICENSE & CONSUMER PROTECTION,300,COMMODITIES AND MATERIALS,1500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,PUBLIC SAFETY,0,PERSONNEL SERVICES,166300
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,PUBLIC SAFETY,700,CONTINGENCIES,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEES AND RULES,0,PERSONNEL SERVICES,128220
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEES AND RULES,100,CONTRACTUAL SERVICES,20000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEES AND RULES,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,0,PERSONNEL SERVICES,385000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,100,CONTRACTUAL SERVICES,1000
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,300,COMMODITIES AND MATERIALS,500
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,ECONOMIC / CAPITAL / TECH DEV,700,CONTINGENCIES,1000
