fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,11,CONTRACT WAGE - SALARY,0,0,315
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,10562,10562,19912
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,8486,8486,0
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,820,820,820
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,23263,23263,29873
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,34614,34614,93942
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,1649,1649,14754
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,19199,19199,15845
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,24168,24168,16235
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,5527,5527,3384
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1487,1487,1487
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,"DUES, SUBSC & MEM",721,721,760
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,44773,44773,44773
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,25368,25368,25187
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,70208,70208,70208
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,3875,3875,3875
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2597,2597,1347
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,6036,6036,6036
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,2032,2032,2032
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,7592,7592,5092
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,12784,12784,16616
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,937055,937055,953375
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,11,CONTRACT WAGE - SALARY,0,0,379
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,6132,6132,8258
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,4858,4858,0
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,683,683,683
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,26317,26317,32929
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,58057,58057,40442
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,350,350,13457
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,13386,13386,10031
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,1200,1200,0
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,29267,29267,21334
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,3489,3489,1345
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,2424,2424,2424
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,"DUES, SUBSC & MEM",2688,2688,2725
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,7854,7854,7854
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,7681,7681,7501
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,24062,24062,24062
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2382,2382,1132
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,3800,3800,3800
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1082,1082,1082
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,8248,8248,5748
LOCAL,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,5434,5434,10466
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,619361,619361,625901
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1452,1452,713
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,4858,4858,0
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,519,519,519
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,5000,5000,11612
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,42080,42080,34911
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,325,325,13432
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,12954,12954,9599
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,1300,1300,0
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,17292,17292,9359
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,3030,3030,887
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,2284,2284,2284
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,"DUES, SUBSC & MEM",1574,1574,1611
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,11530,11530,11530
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,6948,6948,6768
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,19856,19856,19856
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,1430,1430,180
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,3050,3050,3050
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1082,1082,1082
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,12509,12509,10009
LOCAL,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,6392,6392,11523
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1128308,1128308,1135508
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,5190,5190,8851
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,1624,1624,1000
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,710,710,710
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,5000,5000,11612
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,28906,28906,5729
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,1034,1034,14141
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,25612,25612,22257
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,2500,2500,0
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,30517,30517,22584
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,5527,5527,3384
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1151,1151,1151
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,"DUES, SUBSC & MEM",1573,1573,1610
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,12843,12843,12843
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,10724,10724,10544
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,15258,15258,15258
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,3812,3812,2562
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,4450,4450,4450
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1082,1082,1082
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,6662,6662,4162
LOCAL,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,7352,7352,13683
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,1592994,1592994,1598418
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,7546,7546,7446
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,39,STUDENT AS TRAINEES,37500,37500,37500
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,130,POSTAGE,3200,3200,3200
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,4500,4500,4500
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,152,ADVERTISING,1000,1000,1000
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,20000,20000,20000
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,1000,1000,1000
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMMUNICATION SERVICES,4986,4986,4986
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE - NON-CENTREX BILLINGS,10000,10000,10000
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE - MAINTENANCE,4609,4609,4609
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TO TRAVELERS,500,500,500
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,500,500,500
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MATERIAL,400,400,400
LOCAL,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPLIES,5400,5400,5400
LOCAL,0200,WATER FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,115740,115740,115740
LOCAL,0310,MOTOR FUEL TAX FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,282732,282732,282732
LOCAL,0B21,TIF ADMINISTRATION,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,161643,161643,164907
LOCAL,0B21,TIF ADMINISTRATION,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,1632,1632,2070
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,981216,981216,922673
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,0,0,4329
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,39,STUDENT AS TRAINEES,17943,17943,17943
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,44,FRINGE BENEFITS,365566,365566,357647
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,564094,564094,626227
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,159,LEASE PURCHASE AGREEMNT,5000,5000,5000
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,169,TECHNICAL MEETING COSTS,3579,3579,3579
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,181,MOBILE COMMUNICATION SERVICES,927,927,927
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,190,TELEPHONE - NON-CENTREX BILLINGS,4335,4335,4335
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,312,SOFTWARE PURCHASES,5000,5000,5000
GRANTS,0075,OBM GRANT MANAGEMT,5,OFFICE OF BUDGET & MANAGEMENT,2855,GRANTS MANAGEMENT,340,MATERIAL AND SUPPLIES,4340,4340,4340
GRANTS,0929,COM ED SETTLEMENT FUND II,5,OFFICE OF BUDGET & MANAGEMENT,2809,COMED SETTLEMENT FUND,140,PROFESSIONAL AND TECHNICAL SERVICES,1000112,1000112,1000420
GRANTS,0J63,CDBG - DISASTER RECOVERY,5,OFFICE OF BUDGET & MANAGEMENT,2812,DISASTER RECOVERY,140,PROFESSIONAL AND TECHNICAL SERVICES,4300000,4300000,4300000
GRANTS,0J63,CDBG - DISASTER RECOVERY,5,OFFICE OF BUDGET & MANAGEMENT,2814,DISASTER RECOVERY,140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,11000000
