tif_id,tif_name,reporting_category,description,amount
T-003,43rd/Damen,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-003,43rd/Damen,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-003,43rd/Damen,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-003,43rd/Damen,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-003,43rd/Damen,Expenditures,Financing costs. (q)(6),0.00
T-003,43rd/Damen,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-003,43rd/Damen,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-003,43rd/Damen,Expenditures,Relocation costs. (q)(8),0.00
T-003,43rd/Damen,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-003,43rd/Damen,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-003,43rd/Damen,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-003,43rd/Damen,Expenditures,Costs of construction of new housing units for low income and very incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-003,43rd/Damen,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-003,43rd/Damen,Expenditures,Total expenditures,0.00
T-003,43rd/Damen,Revenues over expenditures,,3274.00
T-003,43rd/Damen,Other financing uses,Surplus distribution (See Note 2 to the financial statements),-826401.00
T-003,43rd/Damen,Expenditures and other financing uses over revenues,,-823127.00
T-003,43rd/Damen,Fund balance,Beginning of year,823127.00
T-003,43rd/Damen,Fund balance,End of year,0.00
T-003,43rd/Damen,Fund balance,Reserved for debt service,0.00
T-003,43rd/Damen,Fund balance,Reserved for encumbrances,0.00
T-003,43rd/Damen,Fund balance,Undesignated (See Note 2 to the financial statements),0.00
T-003,43rd/Damen,Fund balance,Total fund balance,0.00
T-004,49th Street/St. Lawrence Avenue,Revenues,Property tax,486468.00
T-004,49th Street/St. Lawrence Avenue,Revenues,Sales tax,0.00
T-004,49th Street/St. Lawrence Avenue,Revenues,Interest,1723.00
T-004,49th Street/St. Lawrence Avenue,Revenues,Total revenues,488191.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",10927.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Marketing costs.  (q)(1.6),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Financing costs. (q)(6),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Relocation costs. (q)(8),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),85767.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-004,49th Street/St. Lawrence Avenue,Expenditures,Total expenditures,96694.00
T-004,49th Street/St. Lawrence Avenue,Revenues over expenditures,,391497.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,Beginning of year,1189680.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,End of year,1581177.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,Reserved for debt service,0.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,Reserved for encumbrances,0.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,Designated for future redevelopment project costs,1581177.00
T-004,49th Street/St. Lawrence Avenue,Fund balance,Total fund balance,1581177.00
T-005,60th and Western,Revenues,Total revenues,316658.00
T-005,60th and Western,Revenues,Property tax,312757.00
T-005,60th and Western,Revenues,Sales tax,0.00
T-005,60th and Western,Revenues,Interest,3901.00
T-005,60th and Western,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",8872.00
T-005,60th and Western,Expenditures,Marketing costs.  (q)(1.6),0.00
T-005,60th and Western,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-005,60th and Western,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-005,60th and Western,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-005,60th and Western,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-005,60th and Western,Expenditures,Financing costs. (q)(6),0.00
T-005,60th and Western,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-005,60th and Western,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-005,60th and Western,Expenditures,Relocation costs. (q)(8),0.00
T-005,60th and Western,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-005,60th and Western,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-005,60th and Western,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-005,60th and Western,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-005,60th and Western,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-005,60th and Western,Expenditures,Total expenditures,8872.00
T-005,60th and Western,Revenues over expenditures,,307786.00
T-005,60th and Western,Fund balance,Beginning of year,2902969.00
T-005,60th and Western,Fund balance,End of year,3210755.00
T-005,60th and Western,Fund balance,Reserved for debt service,0.00
T-005,60th and Western,Fund balance,Reserved for encumbrances,0.00
T-005,60th and Western,Fund balance,Designated for future redevelopment project costs,3210755.00
T-005,60th and Western,Fund balance,Total fund balance,3210755.00
T-006,72nd and Cicero,Revenues,Property tax,366329.00
T-006,72nd and Cicero,Revenues,Sales tax,0.00
T-006,72nd and Cicero,Revenues,Interest,2462.00
T-006,72nd and Cicero,Revenues,Total revenues,368791.00
T-006,72nd and Cicero,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",8589.00
T-006,72nd and Cicero,Expenditures,Marketing costs.  (q)(1.6),0.00
T-006,72nd and Cicero,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-006,72nd and Cicero,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-006,72nd and Cicero,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-006,72nd and Cicero,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-006,72nd and Cicero,Expenditures,Financing costs. (q)(6),0.00
T-006,72nd and Cicero,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-006,72nd and Cicero,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-006,72nd and Cicero,Expenditures,Relocation costs. (q)(8),0.00
T-006,72nd and Cicero,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-006,72nd and Cicero,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-006,72nd and Cicero,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-006,72nd and Cicero,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-006,72nd and Cicero,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-006,72nd and Cicero,Expenditures,Total expenditures,8589.00
T-006,72nd and Cicero,Revenues over expenditures,,360202.00
T-006,72nd and Cicero,Fund balance,Beginning of year,1912693.00
T-006,72nd and Cicero,Fund balance,End of year,2272895.00
T-006,72nd and Cicero,Fund balance,Reserved for debt service,0.00
T-006,72nd and Cicero,Fund balance,Reserved for encumbrances,0.00
T-006,72nd and Cicero,Fund balance,Designated for future redevelopment project costs,2272895.00
T-006,72nd and Cicero,Fund balance,Total fund balance,2272895.00
T-007,73rd and Kedzie,Revenues,Property tax,0.00
T-007,73rd and Kedzie,Revenues,Sales tax,0.00
T-007,73rd and Kedzie,Revenues,Interest,1941.00
T-007,73rd and Kedzie,Revenues,Total revenues,1941.00
T-007,73rd and Kedzie,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",2638.00
T-007,73rd and Kedzie,Expenditures,Marketing costs.  (q)(1.6),0.00
T-007,73rd and Kedzie,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-007,73rd and Kedzie,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-007,73rd and Kedzie,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-007,73rd and Kedzie,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-007,73rd and Kedzie,Expenditures,Financing costs. (q)(6),0.00
T-007,73rd and Kedzie,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-007,73rd and Kedzie,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-007,73rd and Kedzie,Expenditures,Relocation costs. (q)(8),0.00
T-007,73rd and Kedzie,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-007,73rd and Kedzie,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-007,73rd and Kedzie,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-007,73rd and Kedzie,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-007,73rd and Kedzie,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-007,73rd and Kedzie,Expenditures,Total expenditures,2638.00
T-007,73rd and Kedzie,Expenditures over revenues,,-697.00
T-007,73rd and Kedzie,Other financing uses,Tax liability distribution (See Note 2 to the financial statements),-76395.00
T-007,73rd and Kedzie,Expenditures and other financing uses over revenues,,-77092.00
T-007,73rd and Kedzie,Fund balance,Beginning of year,506110.00
T-007,73rd and Kedzie,Fund balance,End of year,429018.00
T-007,73rd and Kedzie,Fund balance,Reserved for debt service,0.00
T-007,73rd and Kedzie,Fund balance,Reserved for encumbrances,0.00
T-007,73rd and Kedzie,Fund balance,Designated for future redevelopment project costs,429018.00
T-007,73rd and Kedzie,Fund balance,Total fund balance,429018.00
T-008,95th Street and Stony Island,Revenues,Property tax,795183.00
T-008,95th Street and Stony Island,Revenues,Sales tax,0.00
T-008,95th Street and Stony Island,Revenues,Interest,79066.00
T-008,95th Street and Stony Island,Revenues,Total revenues,874249.00
T-008,95th Street and Stony Island,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",22374.00
T-008,95th Street and Stony Island,Expenditures,Marketing costs.  (q)(1.6),0.00
T-008,95th Street and Stony Island,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-008,95th Street and Stony Island,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-008,95th Street and Stony Island,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-008,95th Street and Stony Island,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-008,95th Street and Stony Island,Expenditures,Financing costs. (q)(6),0.00
T-008,95th Street and Stony Island,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-008,95th Street and Stony Island,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-008,95th Street and Stony Island,Expenditures,Relocation costs. (q)(8),0.00
T-008,95th Street and Stony Island,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-008,95th Street and Stony Island,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-008,95th Street and Stony Island,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),782000.00
T-008,95th Street and Stony Island,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-008,95th Street and Stony Island,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-008,95th Street and Stony Island,Expenditures,Total expenditures,804374.00
T-008,95th Street and Stony Island,Revenues over expenditures,,69875.00
T-008,95th Street and Stony Island,Fund balance,Beginning of year,3780655.00
T-008,95th Street and Stony Island,Fund balance,End of year,3850530.00
T-008,95th Street and Stony Island,Fund balance,Reserved for debt service,0.00
T-008,95th Street and Stony Island,Fund balance,Reserved for encumbrances,0.00
T-008,95th Street and Stony Island,Fund balance,Designated for future redevelopment project costs,3850530.00
T-008,95th Street and Stony Island,Fund balance,Total fund balance,3850530.00
T-009,95th and Western,Revenues,Property tax,870570.00
T-009,95th and Western,Revenues,Sales tax,0.00
T-009,95th and Western,Revenues,Interest,5551.00
T-009,95th and Western,Revenues,Total revenues,876121.00
T-009,95th and Western,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",31973.00
T-009,95th and Western,Expenditures,Marketing costs.  (q)(1.6),0.00
T-009,95th and Western,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-009,95th and Western,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-009,95th and Western,Expenditures,Costs of construction of public works and improvements. (q)(4),104995.00
T-009,95th and Western,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-009,95th and Western,Expenditures,Financing costs. (q)(6),330794.00
T-009,95th and Western,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-009,95th and Western,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-009,95th and Western,Expenditures,Relocation costs. (q)(8),0.00
T-009,95th and Western,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-009,95th and Western,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-009,95th and Western,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-009,95th and Western,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-009,95th and Western,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-009,95th and Western,Expenditures,Total expenditures,467762.00
T-009,95th and Western,Revenues over expenditures,,408359.00
T-009,95th and Western,Fund balance,Beginning of year,3947943.00
T-009,95th and Western,Fund balance,End of year,4356302.00
T-009,95th and Western,Fund balance,Reserved for debt service,998750.00
T-009,95th and Western,Fund balance,Reserved for encumbrances,0.00
T-009,95th and Western,Fund balance,Designated for future redevelopment project costs,3357552.00
T-009,95th and Western,Fund balance,Total fund balance,4356302.00
T-010,126th and Torrence,Revenues,Property tax,926071.00
T-010,126th and Torrence,Revenues,Sales tax,0.00
T-010,126th and Torrence,Revenues,Interest,1326.00
T-010,126th and Torrence,Revenues,Total revenues,927397.00
T-010,126th and Torrence,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",18920.00
T-010,126th and Torrence,Expenditures,Marketing costs.  (q)(1.6),0.00
T-010,126th and Torrence,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",776954.00
T-010,126th and Torrence,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-010,126th and Torrence,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-010,126th and Torrence,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-010,126th and Torrence,Expenditures,Financing costs. (q)(6),0.00
T-010,126th and Torrence,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-010,126th and Torrence,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-010,126th and Torrence,Expenditures,Relocation costs. (q)(8),0.00
T-010,126th and Torrence,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-010,126th and Torrence,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-010,126th and Torrence,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-010,126th and Torrence,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-010,126th and Torrence,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-010,126th and Torrence,Expenditures,Total expenditures,795874.00
T-010,126th and Torrence,Revenues over expenditures,,131523.00
T-010,126th and Torrence,Fund balance,Beginning of year,950455.00
T-010,126th and Torrence,Fund balance,End of year,1081978.00
T-010,126th and Torrence,Fund balance,Reserved for debt service,0.00
T-010,126th and Torrence,Fund balance,Reserved for encumbrances,0.00
T-010,126th and Torrence,Fund balance,Designated for future redevelopment project costs,1081978.00
T-010,126th and Torrence,Fund balance,Total fund balance,1081978.00
T-011,Addison Corridor North,Revenues,Property tax,1636880.00
T-011,Addison Corridor North,Revenues,Sales tax,0.00
T-011,Addison Corridor North,Revenues,Interest,11353.00
T-011,Addison Corridor North,Revenues,Total revenues,1648233.00
T-011,Addison Corridor North,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",31832.00
T-011,Addison Corridor North,Expenditures,Marketing costs. (q)(1.6),0.00
T-011,Addison Corridor North,Expenditures,"Property assembly, demolition, site preparation and environmental  site improvement costs. (q)(2)",0.00
T-011,Addison Corridor North,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-011,Addison Corridor North,Expenditures,Costs of construction of public works and improvements. (q)(4),312686.00
T-011,Addison Corridor North,Expenditures,Cost of job training and retraining. (q)(5),106463.00
T-011,Addison Corridor North,Expenditures,Financing costs. (q)(6),0.00
T-011,Addison Corridor North,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-011,Addison Corridor North,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects. (q)(7.5),0.00
T-011,Addison Corridor North,Expenditures,Relocation costs. (q)(8),0.00
T-011,Addison Corridor North,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-011,Addison Corridor North,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-011,Addison Corridor North,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-011,Addison Corridor North,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-011,Addison Corridor North,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-011,Addison Corridor North,Expenditures,Total expenditures,450981.00
T-011,Addison Corridor North,Revenues over expenditures,,1197252.00
T-011,Addison Corridor North,Fund balance,Beginning of year,8022139.00
T-011,Addison Corridor North,Fund balance,End of year,9219391.00
T-011,Addison Corridor North,Fund balance,Reserved for debt service,0.00
T-011,Addison Corridor North,Fund balance,Reserved for encumbrances,0.00
T-011,Addison Corridor North,Fund balance,Designated for future redevelopment project costs,9219391.00
T-011,Addison Corridor North,Fund balance,Total fund balance ,9219391.00
T-012,Bloomingdale/Laramie,Revenues,Property tax,0.00
T-012,Bloomingdale/Laramie,Revenues,Sales tax,0.00
T-012,Bloomingdale/Laramie,Revenues,Interest,0.00
T-012,Bloomingdale/Laramie,Revenues,Total Revenues,0.00
T-012,Bloomingdale/Laramie,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",0.00
T-012,Bloomingdale/Laramie,Expenditures,Marketing costs. (q)(1.6),0.00
T-012,Bloomingdale/Laramie,Expenditures,"Property assembly, demolition, site preparation and environmental  site improvement costs. (q)(2)",0.00
T-012,Bloomingdale/Laramie,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",0.00
T-012,Bloomingdale/Laramie,Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-012,Bloomingdale/Laramie,Expenditures,Cost of job training and retraining. (q)(5),0.00
T-012,Bloomingdale/Laramie,Expenditures,Financing costs. (q)(6),0.00
T-012,Bloomingdale/Laramie,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-012,Bloomingdale/Laramie,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects. (q)(7.5),0.00
T-012,Bloomingdale/Laramie,Expenditures,Relocation costs. (q)(8),0.00
T-012,Bloomingdale/Laramie,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-012,Bloomingdale/Laramie,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-012,Bloomingdale/Laramie,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-012,Bloomingdale/Laramie,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-012,Bloomingdale/Laramie,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-012,Bloomingdale/Laramie,Expenditures,Total expenditures,0.00
T-012,Bloomingdale/Laramie,Revenues over expenditures,,0.00
